dataset,method,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,privgraph,3.0,6,0.2576715572902965,0.7727272727272727,0.001964701769296373,1.272182875033971,0.4545454545454545,0.011662597572731317,0.2809542805952989,29422,6.19,2026-05-11 00:36:59
Chamelon,privgraph,3.0,7,0.2188724436213748,0.9090909090909091,0.002659154225078709,0.8682083602126824,0.3636363636363636,0.1900178663216281,0.3825483129111363,29911,6.6,2026-05-11 00:37:06
Chamelon,privgraph,3.0,8,0.23204595687971666,0.8181818181818182,0.0015769861017364461,1.2521141233849897,0.5454545454545454,0.029995255272641876,0.252504852010666,29591,5.93,2026-05-11 00:37:12
Chamelon,privgraph,3.0,9,0.2465158555444371,0.8636363636363636,0.0016884467931945863,0.9025842718509738,0.4545454545454545,0.05929195566532429,0.26175938511574054,30194,6.5,2026-05-11 00:37:18
Chamelon,privgraph,3.5,0,0.2236020116753655,0.9090909090909091,0.0029197428918203007,0.9763075251695205,0.4545454545454545,0.05065792497644853,0.24502502240041998,29849,6.3,2026-05-11 00:37:25
Chamelon,privgraph,3.5,1,0.25959567449055526,0.9090909090909091,0.0019594888220126104,0.8949183378457226,0.3636363636363636,0.06957860741087772,0.21650124932890277,29915,6.21,2026-05-11 00:37:31
Chamelon,privgraph,3.5,2,0.2673200355677457,0.9090909090909091,0.0025924801235784893,0.9756078744083917,0.3636363636363636,0.03559964739893265,0.21530236530726404,29523,6.19,2026-05-11 00:37:37
Chamelon,privgraph,3.5,3,0.2512906990650853,0.8636363636363636,0.0014056936073133575,1.0706272493120719,0.2727272727272727,0.026596207319123176,0.2233251207674802,29427,6.18,2026-05-11 00:37:43
Chamelon,privgraph,3.5,4,0.2385209671433149,0.9545454545454546,0.0018669528181061263,0.9305992096945271,0.3636363636363636,0.030910172239229684,0.2434183424310645,29499,6.24,2026-05-11 00:37:50
Chamelon,privgraph,3.5,5,0.2420184431896619,0.9090909090909091,0.0027220621278953774,1.142894843304739,0.4545454545454545,0.06143712362682552,0.256054773396611,30036,6.48,2026-05-11 00:37:56
Chamelon,privgraph,3.5,6,0.21114838908763808,0.8636363636363636,0.0014057451536949159,0.9572182024404883,0.4545454545454545,0.059044176185646426,0.2495562219282163,29814,6.24,2026-05-11 00:38:02
Chamelon,privgraph,3.5,7,0.21107425328506088,0.9090909090909091,0.0029641952229211015,0.933458213853102,0.4545454545454545,0.11707701036641575,0.3012885343450996,30086,6.35,2026-05-11 00:38:09
Chamelon,privgraph,3.5,8,0.21968365398519055,0.9090909090909091,0.0029394215031843915,1.038779951592426,0.5454545454545454,0.03530912853413964,0.29566284726368247,29868,5.88,2026-05-11 00:38:15
Chamelon,privgraph,3.5,9,0.22678248457785966,0.9090909090909091,0.0026104418385526785,1.0021295078092516,0.4545454545454545,0.14518664770629255,0.35529368419660284,30055,6.25,2026-05-11 00:38:21
Chamelon,ours,0.5,0,0.2910557735627774,0.5454545454545454,0.005876386768842637,2.3851726523016445,0.3636363636363636,0.6601449648023869,0.0007363486617909495,19877,2.6,2026-05-11 00:38:23
Chamelon,ours,0.5,1,0.2629368389835471,0.0,0.005380893066272566,2.612924681388517,0.2727272727272727,0.5895172119197114,0.008903837573488716,18963,2.9,2026-05-11 00:38:26
Chamelon,ours,0.5,2,0.26897946362618325,0.3181818181818182,0.007527476792397589,2.8098464070540095,0.1818181818181818,0.7528498102663932,0.0002335151638181961,15485,2.36,2026-05-11 00:38:29
Chamelon,ours,0.5,3,0.2761565445565552,0.18181818181818182,0.017011905580064608,2.2935366445020433,0.2727272727272727,0.6231314015779797,0.03283833838825572,21478,2.85,2026-05-11 00:38:32
Chamelon,ours,0.5,4,0.27146316767657463,0.4090909090909091,0.006371834994253473,2.709260087685349,0.2727272727272727,0.6960722223976092,0.057384969590932415,15492,2.24,2026-05-11 00:38:34
Chamelon,ours,0.5,5,0.2623175008232763,0.22727272727272727,0.0127834681404218,3.4284466321812825,0.0,0.7233513389070448,0.01887754270032235,12975,2.2,2026-05-11 00:38:36
Chamelon,ours,0.5,6,0.276802069039134,0.2727272727272727,0.012073920069766608,2.5981701908227146,0.2727272727272727,0.6669909821358537,0.03624155716531512,18150,2.41,2026-05-11 00:38:38
Chamelon,ours,0.5,7,0.27373841863166576,0.09090909090909091,0.011995737836631805,2.705259025421968,0.3636363636363636,0.6795302936826909,0.040133270298705816,18785,2.56,2026-05-11 00:38:41
Chamelon,ours,0.5,8,0.25580406561882923,0.2727272727272727,0.019156074198685695,4.61052364711801,0.1818181818181818,0.7552820509294177,0.042077216954892666,14819,2.22,2026-05-11 00:38:43
Chamelon,ours,0.5,9,0.273907482799781,0.45454545454545453,0.01026773456513206,2.3834727328334457,0.3636363636363636,0.6802770751529813,0.03301934987160537,18036,2.5,2026-05-11 00:38:46
Chamelon,ours,1.0,0,0.27247297827758493,0.5,0.006127432529619007,1.601052056397342,0.1818181818181818,0.4162962820515712,0.11686333207455565,24720,3.47,2026-05-11 00:38:49
Chamelon,ours,1.0,1,0.3037015874709972,0.8181818181818182,0.005879763907747821,1.5189824868568094,0.3636363636363636,0.37345885845164933,0.0991805346990654,26881,3.85,2026-05-11 00:38:53
Chamelon,ours,1.0,2,0.2809382820072378,0.7272727272727273,0.00671619498218862,1.608553964548259,0.3636363636363636,0.4076411540374987,0.11217249296782801,25476,3.76,2026-05-11 00:38:57
Chamelon,ours,1.0,3,0.30075576109285823,0.8636363636363636,0.005370639186084796,1.471992229662594,0.2727272727272727,0.5050664138110932,0.05279140297996592,25661,3.88,2026-05-11 00:39:01
Chamelon,ours,1.0,4,0.3051998943966298,0.7272727272727273,0.005049423360829799,1.480616644252211,0.4545454545454545,0.3904374543563007,0.06790632594267736,25557,3.59,2026-05-11 00:39:04
Chamelon,ours,1.0,5,0.3029332416897367,0.7727272727272727,0.005600130059830647,1.7938657575850347,0.4545454545454545,0.4057251682412053,0.06278101972918128,26684,3.62,2026-05-11 00:39:08
