dataset,scheme,e1_r,e2_r,e3_r,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,comm_n,time_sec,timestamp
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0,0.32682674529338857,0.03273809523809524,0.02885347730246447,2.306511295844678,0.6923076923076922,6.136266051374163,0.478463828692033,48123,22,373.01,2026-05-12 14:01:46
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,1,0.331571050501484,0.023809523809523808,0.015507251298442094,2.013426973270028,0.5384615384615384,5.952132983118182,0.45480342623251335,62268,20,383.61,2026-05-12 14:01:57
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,2,0.3280557024963839,0.041666666666666664,0.017652836811085173,1.9438201073865833,0.6153846153846153,5.8772477532131635,0.46520900983583896,58847,22,383.84,2026-05-12 14:01:58
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,3,0.328541470132097,0.041666666666666664,0.02423966564277997,2.057168311884454,0.6153846153846153,6.037425350756875,0.46953794838191454,54463,22,245.71,2026-05-12 14:05:52
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,5,0.32881184012343023,0.03869047619047619,0.01689122699722621,2.052845712831083,0.6153846153846153,5.898115289165197,0.4670372345278048,46431,23,349.77,2026-05-12 14:07:47
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,4,0.32833874241783045,0.047619047619047616,0.023898459727102996,1.983741553519114,0.6153846153846153,5.694678632410035,0.464131458669289,52976,23,355.97,2026-05-12 14:07:53
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,6,0.3269567846670107,0.05357142857142857,0.023955146991924477,1.9860799032305385,0.6923076923076922,5.778874219552336,0.4423614012620954,50019,22,157.5,2026-05-12 14:08:30
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,8,0.3285400563140932,0.03869047619047619,0.021145290545423252,2.03144335368169,0.46153846153846145,5.839066139537467,0.44186600553792155,53287,20,359.27,2026-05-12 19:01:40
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,7,0.327728599501612,0.047619047619047616,0.024702955749130857,2.1293159852348094,0.6923076923076922,5.671411420282741,0.44676423760095896,43679,21,366.58,2026-05-12 19:01:47
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,9,0.3285540164277173,0.044642857142857144,0.024157657661657044,1.9206370232967034,0.5384615384615384,5.781664462652199,0.46703840436474914,61758,23,366.63,2026-05-12 19:01:47
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,0,0.3266338817033272,0.1636904761904762,0.013759027774635927,1.8825610198383165,0.3846153846153846,5.1469324692253355,0.4959658807525252,117135,18,330.74,2026-05-12 19:07:11
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,2,0.3211549919889439,0.14285714285714285,0.011096627217978692,1.8226701445990596,0.3846153846153846,5.338038238709181,0.495741551032908,98644,20,374.41,2026-05-12 19:08:02
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,1,0.32343307824764955,0.09821428571428571,0.018778812998452004,2.788536594187129,0.15384615384615383,5.557840607552211,0.509706144463039,116007,19,381.08,2026-05-12 19:08:08
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,3,0.3222671543209806,0.11904761904761904,0.017470207439285877,1.926242427289839,0.23076923076923073,5.792905075100039,0.5116949408527837,105090,21,124.48,2026-05-12 19:09:15
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,4,0.32405423567791963,0.13988095238095238,0.014736367309845014,1.804331463417062,0.30769230769230765,4.990249337580469,0.49390857354974926,116203,18,303.61,2026-05-12 19:13:05
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,5,0.3251416451465132,0.13690476190476192,0.013447212633170755,1.7931467062091897,0.23076923076923073,5.157495341743445,0.4848929694909636,105276,18,379.82,2026-05-12 19:14:28
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,6,0.32392570228317696,0.14583333333333334,0.017100757061961607,1.7805370986727032,0.46153846153846145,5.2651158476483,0.49047173026890456,100566,19,353.29,2026-05-12 19:15:08
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,7,0.32375636841503347,0.11904761904761904,0.008440967875772159,1.9142435074092221,0.23076923076923073,5.5360356775768365,0.5030500570603534,107182,20,217.1,2026-05-12 19:16:42
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,8,0.3234918987820218,0.11904761904761904,0.010410783771841117,1.8697547717643501,0.46153846153846145,5.485162822256455,0.5031517037328077,108608,20,262.13,2026-05-12 19:18:50
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,9,0.32312467446064574,0.12202380952380952,0.006909585057707181,1.8986920593481564,0.3846153846153846,5.217063531399501,0.4982776929418098,110564,19,250.7,2026-05-12 19:19:19
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,0,0.3474930711685497,0.7529761904761905,0.005539250498182133,1.5018168404008587,0.07692307692307691,2.555996098067415,0.2619589059978919,159655,13,217.76,2026-05-12 19:20:20
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,1,0.33686678767100087,0.46726190476190477,0.0072435856928234,1.4685778363040773,0.0,2.908684843502341,0.3877464974986627,154367,13,270.3,2026-05-12 19:23:20
