dataset,eps,intra_ratio,inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.2,0.3,3,0.16423329666972808,0.22727272727272727,0.06105972109790269,3.988215635917271,0.3636363636363636,0.1752044147372166,0.20739837759334911,6294
Chamelon,0.5,0.2,0.3,4,0.16171470393227783,0.045454545454545456,0.045521133613376286,4.149463620366517,0.1818181818181818,0.19422096585235388,0.2038181627161156,6290
Chamelon,0.5,0.2,0.4,0,0.1535358462619452,0.09090909090909091,0.044550463532401115,4.322864822563737,0.2727272727272727,0.18999314431623188,0.165745437720073,6068
Chamelon,0.5,0.2,0.4,1,0.14638288953259498,0.18181818181818182,0.02543669156601307,4.2282970346929885,0.7272727272727272,0.23288856217568454,0.19839138446026172,5943
Chamelon,0.5,0.2,0.4,2,0.16456512859294906,0.5,0.0154734727083817,2.8941986524081886,0.1818181818181818,0.027241534613912415,0.14336145996531416,9304
Chamelon,0.5,0.2,0.4,3,0.16516317795915025,0.09090909090909091,0.04768282915604116,4.22719610591323,0.0909090909090909,0.23787515338101167,0.2107619602120677,6133
Chamelon,0.5,0.2,0.4,4,0.1513541109292408,0.045454545454545456,0.02787213969211894,3.8957775976735762,0.0,0.15006272053556305,0.21788357035293374,6853
Chamelon,0.5,0.2,0.5,0,0.15217094730573724,0.36363636363636365,0.057967469159875336,4.305155020724073,0.0909090909090909,0.2058965067923357,0.207907924052491,5996
Chamelon,0.5,0.2,0.5,1,0.15288509559710461,0.3181818181818182,0.04652296723292142,4.1619723638111825,0.0,0.20766600137172675,0.20043009408074908,6607
Chamelon,0.5,0.2,0.5,2,0.15981416414062127,0.36363636363636365,0.04682946281926471,3.7015883174659594,0.1818181818181818,0.19687273018031345,0.18924167428425717,7107
Chamelon,0.5,0.2,0.5,3,0.13341380829136468,0.13636363636363635,0.04866374499900386,4.486060505821651,0.2727272727272727,0.2147393991413467,0.22360308970996776,5813
Chamelon,0.5,0.2,0.5,4,0.16891728260921954,0.4090909090909091,0.04740132224868883,3.885164473767365,0.0909090909090909,0.21595139117862208,0.15845845774810116,6836
Chamelon,0.5,0.2,0.6,0,0.1300347792072307,0.22727272727272727,0.06975749094804663,5.116941514996501,0.2727272727272727,0.378378249565173,0.25187844861007697,4873
Chamelon,0.5,0.2,0.6,1,0.17189714905781772,0.045454545454545456,0.05061754340098292,3.724497528538584,0.4545454545454545,0.1673004997735801,0.1743735272188065,7313
Chamelon,0.5,0.2,0.6,2,0.15210529925450406,0.2727272727272727,0.04628627209221259,4.371135543089898,0.0909090909090909,0.2699821159697427,0.19129494016288637,6374
Chamelon,0.5,0.2,0.6,3,0.14849768043716116,0.0,0.04146634349873099,3.8456475613145247,0.2727272727272727,0.3257367046810122,0.15301421009257707,6577
Chamelon,0.5,0.2,0.6,4,0.14416079465572867,0.22727272727272727,0.05062203343848339,4.75647892691417,0.3636363636363636,0.2597085851720912,0.21248482209454977,6166
Chamelon,0.5,0.2,0.7,0,0.133431266121793,0.18181818181818182,0.06174320375297207,4.57267546769007,0.818181818181818,0.25598322942562096,0.20055081028496557,5021
Chamelon,0.5,0.2,0.7,1,0.16113538747286457,0.045454545454545456,0.044547616109237735,3.833503830476415,0.0,0.27218611635309886,0.15736010454820848,7502
Chamelon,0.5,0.2,0.7,2,0.14200696563905882,0.09090909090909091,0.061149252200703795,4.545913103859089,0.3636363636363636,0.20624503141938885,0.23844089513700698,5557
Chamelon,0.5,0.2,0.7,3,0.1606599307529082,0.2727272727272727,0.022873772231132097,4.44785840059731,0.3636363636363636,0.18682996906702332,0.19409028419296007,6660
Chamelon,0.5,0.2,0.7,4,0.17083016952639862,0.0,0.04962530487276844,4.165142575598171,0.0909090909090909,0.2986732825440073,0.1964472047906149,6784
Chamelon,0.5,0.2,0.8,0,0.1326441576239424,0.22727272727272727,0.055605681787037946,4.624250340170924,0.0,0.21213190537558604,0.2458403353370922,5735
Chamelon,0.5,0.2,0.8,1,0.13828121036772092,0.36363636363636365,0.04867348924965072,4.017907373441586,0.0909090909090909,0.22536227959809235,0.20123512074291533,6574
