inter_ratio,exper,eps,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,edge_ratio,comm_n,mod_raw
0.15,1,1.5,0.2971719318497472,0.8181818181818182,0.005868226709034022,1.3599561701181462,0.4545454545454545,0.2980367513146287,0.13049435170562346,28086,0.8953,4,0.604924
0.15,2,1.5,0.3123404094206493,0.8181818181818182,0.0035678926156426133,1.347290483649568,0.3636363636363636,0.2383404568903584,0.09846788191025783,27803,0.8863,4,0.627206
0.15,3,1.5,0.3358413328647491,0.8181818181818182,0.003067125087388163,1.2984756801667272,0.4545454545454545,0.17546152124096553,0.1404616678554953,28004,0.8927,3,0.59799
0.15,4,1.5,0.30955426698577787,0.7727272727272727,0.004899258786726753,1.3534555412343348,0.4545454545454545,0.3157810231761165,0.10778427550302712,28085,0.8953,4,0.620724
0.2,0,1.5,0.33713452530630367,0.8181818181818182,0.0031606344079445434,1.2404312126879922,0.3636363636363636,0.22388808420039583,0.12893240880454407,27087,0.8634,4,0.606011
0.2,1,1.5,0.30155330815146986,0.9090909090909091,0.0045084583859332505,1.3870991831499264,0.4545454545454545,0.04373888713195116,0.1963583762509464,28246,0.9004,3,0.559102
0.2,2,1.5,0.2978645825359514,0.8636363636363636,0.003961533150384054,1.1884660676398493,0.4545454545454545,0.22062265161892036,0.11535060894465654,27861,0.8881,4,0.61546
0.2,3,1.5,0.338272045877553,0.8636363636363636,0.0036166272116398973,1.4364988153574392,0.4545454545454545,0.22007191270826224,0.13944181540596132,27153,0.8655,4,0.5987
0.2,4,1.5,0.28261198112160857,0.8636363636363636,0.0034031046325225535,1.3460715772365952,0.4545454545454545,0.24340155782550013,0.11300710136805811,25818,0.823,5,0.617091
0.3,0,1.5,0.23502552863742804,0.6818181818181818,0.009905895501363466,1.0786482334678458,0.3636363636363636,0.21386344941766958,0.12370393579338826,27116,0.8644,6,0.609649
0.3,1,1.5,0.2865230523454745,0.8636363636363636,0.005019205708758591,1.3427186418424073,0.4545454545454545,0.09722312146014832,0.16382445118815947,28496,0.9084,4,0.581736
0.3,2,1.5,0.2408614856243382,0.8181818181818182,0.005564822233435549,1.5089897957704617,0.3636363636363636,0.0626267136836337,0.26794321082052336,28560,0.9104,4,0.5093
0.3,3,1.5,0.2617313984454489,0.9090909090909091,0.005638920811366908,1.3170308586686907,0.3636363636363636,0.2507421035455655,0.13821331146255134,26736,0.8523,6,0.599554
0.3,4,1.5,0.2522988026160604,0.9090909090909091,0.005216221767211534,1.7191154941973492,0.3636363636363636,0.11737451170893554,0.29406545862963557,29322,0.9347,4,0.491126
0.4,0,1.5,0.2181961814729408,0.7272727272727273,0.0078083933164486,1.4566517633660547,0.3636363636363636,0.003279851748247521,0.30888278930756363,28197,0.8988,5,0.480818
0.4,1,1.5,0.25989946940543396,0.8181818181818182,0.00806243099114946,1.154181171576332,0.3636363636363636,0.02002789843189498,0.2721354998702306,28564,0.9105,4,0.506383
0.4,2,1.5,0.3046696632638376,0.7272727272727273,0.006593153544979268,1.423607476446575,0.4545454545454545,0.02558513047055202,0.2507862132550134,28617,0.9122,3,0.521236
0.4,3,1.5,0.2008251979779338,0.7272727272727273,0.016053057349279923,1.2626792205642978,0.4545454545454545,0.06151805370150854,0.25734050406578635,29091,0.9273,5,0.516676
0.4,4,1.5,0.28591232187606025,0.8181818181818182,0.0071698387901700375,1.260019436952466,0.4545454545454545,0.05548606252463584,0.2125175955900984,28095,0.8956,4,0.54786
0.5,0,1.5,0.173783353002773,0.8181818181818182,0.00704367122510599,1.0118509187805256,0.3636363636363636,0.11111043389016184,0.32858965981037436,28931,0.9222,5,0.467107
0.5,1,1.5,0.3173459059371563,0.9090909090909091,0.007475142071499446,1.2479578484283067,0.4545454545454545,0.07156046361096453,0.28813411057331884,29342,0.9353,3,0.495253
0.5,2,1.5,0.17782840993596244,0.6818181818181818,0.009589773216967504,1.1333957362039069,0.4545454545454545,0.06166750139207701,0.39173339446660976,29360,0.9359,6,0.423178
0.5,3,1.5,0.2020730416244023,0.6363636363636364,0.010245836510756877,1.1334891921615515,0.3636363636363636,0.020123360590459185,0.3504012411640137,28602,0.9117,5,0.451933
0.5,4,1.5,0.26716845468881434,0.8636363636363636,0.009168743963653752,1.3679725899138393,0.3636363636363636,0.030168426308599762,0.28854705019388704,28989,0.9241,4,0.494965
0.6,0,1.5,0.19617867187875682,0.8181818181818182,0.00917518170484734,0.9810249064016581,0.4545454545454545,0.17900332683777326,0.45794723197432385,30087,0.9591,4,0.377112
0.6,1,1.5,0.22708944472494386,0.8181818181818182,0.01123148905312794,1.444806371211193,0.4545454545454545,0.1591976842364504,0.38491737253952013,29326,0.9348,4,0.42792
0.6,2,1.5,0.15966070006839683,0.8636363636363636,0.007466200785682157,1.2177162173696288,0.4545454545454545,0.19113168586524493,0.388319744954142,29090,0.9273,6,0.425553
0.6,3,1.5,0.2761357090291096,0.9090909090909091,0.011630499044693828,1.0800146840931966,0.4545454545454545,0.056698711374549855,0.32058172889134423,28909,0.9215,4,0.472679
0.6,4,1.5,0.20940083479818,0.7727272727272727,0.013184683556335257,1.2088551592380226,0.3636363636363636,0.047793892532948544,0.3559004434067648,28530,0.9094,5,0.448107
0.8,0,1.5,0.17288945668266884,0.8181818181818182,0.007883665690303021,1.1474938714230185,0.3636363636363636,0.3577315113173785,0.5849337923007254,30085,0.959,5,0.288766
0.8,1,1.5,0.24297658076222511,0.7727272727272727,0.012351072307088505,1.217105589797792,0.3636363636363636,0.19824683945932453,0.43560530408322884,29743,0.9481,4,0.392655
0.8,2,1.5,0.20181963537487607,0.8181818181818182,0.012521454505218736,1.1338933269519682,0.3636363636363636,0.23363069349506968,0.5210386499361284,30011,0.9566,4,0.333219
0.8,3,1.5,0.1662553926812237,0.6818181818181818,0.01734583179255642,1.43588836458717,0.4545454545454545,0.17523520502087364,0.4931100714449693,29616,0.9441,6,0.352649
0.8,4,1.5,0.18578366074259212,0.7272727272727273,0.010053172281263904,0.8851163044989186,0.4545454545454545,0.27686057794630836,0.47676346412933296,30433,0.9701,5,0.364021
1.0,0,1.5,0.06633369726238152,0.7727272727272727,0.008741518890723408,0.8620607518735104,0.4545454545454545,0.4522101451943993,0.7993363980998308,31019,0.9888,5,0.139604
1.0,1,1.5,0.195198223360932,0.7727272727272727,0.011340988007880937,0.8937076490526616,0.4545454545454545,0.3289716551983534,0.5668826672126956,30526,0.9731,4,0.301324
