eps,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.5,0.7,0.15,0.15,1,0.11414082713268371,0.7727272727272727,0.003946559371975704,2.8600966154525027,0.5454545454545454,0.2215533875090575,0.43577574565413346
2.5,0.7,0.15,0.15,2,0.15586117859329543,0.8636363636363636,0.002157887147398012,1.389739517801492,0.5454545454545454,0.19573821997960392,0.4061908483318933
2.5,0.75,0.1,0.15,0,0.09684696514799283,0.7727272727272727,0.0029198621287739855,5.469382935668087,0.5454545454545454,0.20341881223335712,0.4315954481989056
2.5,0.75,0.1,0.15,1,0.08019332413062283,0.7727272727272727,0.003309173229704454,6.318758127659217,0.6363636363636362,0.3407466473788147,0.5294823118715134
2.5,0.75,0.1,0.15,2,0.11940287938686327,0.8181818181818182,0.003909193239159382,4.2891125677498865,0.5454545454545454,0.16339935211150775,0.45081483853315873
2.5,0.8,0.05,0.15,0,0.029751510807500808,0.6363636363636364,0.01791513713613212,10.434596309372866,0.6363636363636362,0.6241022263175364,0.5986571888368692
2.5,0.8,0.05,0.15,1,0.03927933434073119,0.5,0.020528620791524163,7.92078208322823,0.6363636363636362,0.7132540227589305,0.5648495046784517
2.5,0.8,0.05,0.15,2,0.03825023698028868,0.5454545454545454,0.02137227645326368,9.910078157115707,0.6363636363636362,0.6731032253002801,0.5855118072057681
3,0.05,0.8,0.15,0,0.24263276935413555,0.8181818181818182,0.0024168234614844117,0.8734628034339573,0.4545454545454545,0.013487398457400362,0.22221518293684991
3,0.05,0.8,0.15,1,0.2297129021870878,0.8181818181818182,0.006020958692647253,1.1194253051943388,0.4545454545454545,0.18618397400868655,0.31324859047051623
3,0.05,0.8,0.15,2,0.15228335563450138,0.8636363636363636,0.004995775759030029,1.0742311294027136,0.4545454545454545,0.22517695825891632,0.39780369943742017
3,0.1,0.75,0.15,0,0.15060671422920002,0.6818181818181818,0.004043389301522479,0.8485781561757961,0.4545454545454545,0.25381760630707534,0.45593464640937603
3,0.1,0.75,0.15,1,0.18652893593405825,0.5454545454545454,0.00644369597681368,1.326985031955083,0.4545454545454545,0.15515154639101014,0.2572156598214522
3,0.1,0.75,0.15,2,0.23090744588588272,0.8636363636363636,0.002980560110099781,1.068601714581237,0.3636363636363636,0.14175865271936974,0.3151802460973694
3,0.15,0.7,0.15,0,0.23928523344154273,0.8181818181818182,0.002768351768276227,0.835208355072685,0.3636363636363636,0.07854558915785943,0.23082222236286476
3,0.15,0.7,0.15,1,0.16883959760335554,0.8636363636363636,0.003341999423397915,0.9379303584074097,0.4545454545454545,0.2153269027790125,0.38173256477700057
3,0.15,0.7,0.15,2,0.21850788956756895,0.8636363636363636,0.0018206514170503888,0.8635867309802617,0.3636363636363636,0.08453163841338729,0.20775671835982257
3,0.2,0.65,0.15,0,0.16730710341595043,0.8636363636363636,0.003274824721843822,0.8469686158155085,0.4545454545454545,0.2135851924183939,0.3563643283333467
3,0.2,0.65,0.15,1,0.16730063125546463,0.45454545454545453,0.003235223105070104,1.0945754903031415,0.2727272727272727,0.12196874464570454,0.2947407979368501
3,0.2,0.65,0.15,2,0.23495969740000755,0.9545454545454546,0.0017949418214970162,0.8520250505444239,0.2727272727272727,0.010268862095305399,0.19902794949790942
3,0.25,0.6,0.15,0,0.20524540514755066,0.9090909090909091,0.0049362814044039615,1.1758778227444417,0.3636363636363636,0.13968359354564952,0.27324260249882476
3,0.25,0.6,0.15,1,0.20125222127580616,0.9090909090909091,0.004726808098154747,0.8617808281996451,0.3636363636363636,0.08503033545422917,0.2737579803405003
3,0.25,0.6,0.15,2,0.22263696804127436,0.8636363636363636,0.003700880752906265,0.8558982251133876,0.4545454545454545,0.2040292003516601,0.34719229840049226
3,0.3,0.55,0.15,0,0.18032634137719197,0.9090909090909091,0.0032856305784307958,0.9163480563719438,0.4545454545454545,0.07133540607952289,0.31211184164364086
3,0.3,0.55,0.15,1,0.20332932300461526,0.8636363636363636,0.0038700423749505417,0.9545244875104917,0.3636363636363636,0.07988093260656,0.30021901186330946
3,0.3,0.55,0.15,2,0.24705672002531054,0.8636363636363636,0.0031829140952436053,1.0687821936014388,0.2727272727272727,0.08259737214011802,0.19539370087074118
3,0.35,0.5,0.15,0,0.23798646281287014,0.9090909090909091,0.002740891196439903,1.072906709273418,0.3636363636363636,0.07241235263268418,0.20312927856550136
3,0.35,0.5,0.15,1,0.24808139271692825,0.9090909090909091,0.0027816615162678427,0.9923443004514603,0.3636363636363636,0.06810944071212931,0.21547126815755419
3,0.35,0.5,0.15,2,0.2678303288749553,0.9090909090909091,0.00247399247280945,0.8444246781881382,0.3636363636363636,0.06303875637865267,0.19441302501255117
3,0.4,0.45,0.15,0,0.22365811382077172,0.8181818181818182,0.0017196939330469498,0.8917629936981997,0.3636363636363636,0.014988117639633347,0.21681436118918476
3,0.4,0.45,0.15,1,0.20892230265821657,0.8181818181818182,0.003902886425828808,1.0738504753911833,0.4545454545454545,0.08878066286732346,0.27343029329290797
3,0.4,0.45,0.15,2,0.23219524775864286,0.9090909090909091,0.0024059314405199,0.9154422323282754,0.3636363636363636,0.06268348756292512,0.21399425273555442
3,0.45,0.4,0.15,0,0.21663237493452644,0.9090909090909091,0.0028131123067713227,0.9089953570686932,0.4545454545454545,0.09199356039925546,0.22703053318429384
3,0.45,0.4,0.15,1,0.16239455001338007,0.8636363636363636,0.0028608385596901407,0.9268512719685013,0.4545454545454545,0.20507913493073335,0.40627247591711363
3,0.45,0.4,0.15,2,0.1678869406949654,0.9090909090909091,0.004975647017467229,0.9906966445213913,0.4545454545454545,0.2780746724548531,0.40137551556441986
3,0.5,0.35,0.15,0,0.2311446410360336,0.8636363636363636,0.002325030256289149,0.8920653476071412,0.3636363636363636,0.0338921285581663,0.21958370829457113
3,0.5,0.35,0.15,1,0.2089488382868066,0.8181818181818182,0.001457457564686616,1.0111683323060896,0.3636363636363636,0.08911801038944782,0.2735193140138788
3,0.5,0.35,0.15,2,0.22798792472125962,0.8181818181818182,0.0025555993661673286,0.8540336906406043,0.3636363636363636,0.061494790781802276,0.21318100507446758
3,0.55,0.3,0.15,0,0.1394439003633294,0.7272727272727273,0.0057279087745353945,0.9869501112479269,0.4545454545454545,0.2481053223185029,0.47686704095839405
