epsilon,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.2,0.6,0.2,2.0,0.318003240486157,0.8181818181818182,0.0017845488832491962,1.7981740965067758,0.1818181818181818,0.1841539058228304,0.1844619394356166
2.0,0.2,0.6,0.2,3.0,0.3506392209205946,0.9090909090909091,0.0007813875524322132,1.336528319075195,0.1818181818181818,0.12201288009855252,0.08676746038518805
2.0,0.2,0.6,0.2,4.0,0.3825288080654423,0.7727272727272727,0.00111734657354138,1.2747045996987354,0.1818181818181818,0.11679642186202234,0.08811764787538746
2.0,0.2,0.6,0.2,5.0,0.33590636209902464,0.8181818181818182,0.001726218842371493,1.281883086736666,0.0909090909090909,0.2201970775167262,0.11546182332309363
2.0,0.2,0.6,0.2,6.0,0.31071379761915685,0.7727272727272727,0.005505171438485424,1.6874701768796676,0.0909090909090909,0.15093373793926837,0.4007965014707133
2.0,0.2,0.6,0.2,7.0,0.3141725662765882,0.9545454545454546,0.0021282135865375073,1.3044904200838343,0.0909090909090909,0.08608847141547915,0.21321720178063128
2.0,0.2,0.6,0.2,8.0,0.3643499772441092,0.9090909090909091,0.00310099328316608,1.6605185200352408,0.2727272727272727,0.23982501080835372,0.05854136793183711
2.0,0.2,0.6,0.2,9.0,0.3695899244033695,0.8181818181818182,0.0016802451275086652,1.565135448452904,0.1818181818181818,0.15478878257740303,0.09423652213734716
2.0,0.3,0.2,0.5,0.0,0.25435530177960236,0.8181818181818182,0.0010810307250716843,1.2685217214662758,0.3636363636363636,0.03340145475709147,0.26375047372753224
2.0,0.3,0.2,0.5,1.0,0.2638580171124669,0.8636363636363636,0.0013509504375271014,1.767417354890891,0.0909090909090909,0.24348828944968284,0.28876217178869756
2.0,0.3,0.2,0.5,2.0,0.26582421266221823,0.8636363636363636,0.0011967925387446816,1.6373852084668274,0.0,0.2996868743921183,0.2624312750003648
2.0,0.3,0.2,0.5,3.0,0.2654822776410067,0.9545454545454546,0.0015619705080748456,1.5406091847064995,0.0909090909090909,0.18077119412826395,0.16949543412045076
2.0,0.3,0.2,0.5,4.0,0.26271417310579054,0.0,0.01186044004842809,1.8288696436996688,0.3636363636363636,0.01417225624206091,0.05867784086687814
2.0,0.3,0.2,0.5,5.0,0.25233052781385734,0.8181818181818182,0.0019842519032920616,2.338597440047557,0.1818181818181818,0.22290251542115666,0.2773531786093061
2.0,0.3,0.2,0.5,6.0,0.293674172862084,0.8181818181818182,0.0019621160679483833,1.1839230308518052,0.3636363636363636,0.11712919526162258,0.13776278549884496
2.0,0.3,0.2,0.5,7.0,0.2542360453757957,0.9090909090909091,0.0012602439195117691,1.360327174131497,0.0909090909090909,0.19312301419357,0.22995447404374195
2.0,0.3,0.2,0.5,8.0,0.252653423366962,0.8181818181818182,0.001971209280397081,1.9373651769569133,0.0,0.08639180948026513,0.38183105631452
2.0,0.3,0.2,0.5,9.0,0.24193777741333614,0.6818181818181818,0.0015289207442510005,1.6383725931321047,0.1818181818181818,0.23700097382574753,0.22274664858225715
2.0,0.3,0.3,0.4,0.0,0.27923276192785035,0.8636363636363636,0.002428587154696724,1.4950104020884631,0.2727272727272727,0.1794274942062899,0.21473056822531236
2.0,0.3,0.3,0.4,1.0,0.3063701437753746,0.7727272727272727,0.001303252912715883,1.272883244316024,0.3636363636363636,0.12071028753984328,0.11062981754690308
2.0,0.3,0.3,0.4,2.0,0.3219399160368407,0.8181818181818182,0.0014701869513355352,1.2348024635827812,0.4545454545454545,0.09790936999739226,0.12718328675808935
2.0,0.3,0.3,0.4,3.0,0.31056806040920115,0.9090909090909091,0.0019139709281975241,1.3744961319893862,0.1818181818181818,0.15269048354305143,0.12736820504991628
2.0,0.3,0.3,0.4,4.0,0.2828437437812687,0.7727272727272727,0.0029511018003787882,1.2203537833302014,0.1818181818181818,0.015852807655264412,0.42595855078706724
2.0,0.3,0.3,0.4,5.0,0.318959889805982,0.8181818181818182,0.0016225786513670395,1.5319234108879525,0.1818181818181818,0.23009230672908323,0.1036440551808699
2.0,0.3,0.3,0.4,6.0,0.29193582792273076,0.9090909090909091,0.0010067011601333636,1.8784325589598057,0.0909090909090909,0.36005478873336494,0.13965519927177206
2.0,0.3,0.3,0.4,7.0,0.2803651401566246,0.8181818181818182,0.005673732495546702,1.4427326257070558,0.3636363636363636,0.04023655203208795,0.37191497747738717
2.0,0.3,0.3,0.4,8.0,0.3012265876086542,0.8181818181818182,0.0007055862359242226,1.6761044081699694,0.0909090909090909,0.2232834521631869,0.1957754925052351
2.0,0.3,0.3,0.4,9.0,0.2965181355959272,0.9090909090909091,0.004518063530677353,1.3444978976286168,0.0909090909090909,0.05987935475133387,0.3196056290426793
2.0,0.3,0.4,0.3,0.0,0.2773056576792447,0.7272727272727273,0.005139351578621456,1.1853056995839704,0.2727272727272727,0.1003587773903229,0.3961716467591071
2.0,0.3,0.4,0.3,1.0,0.3336390940187871,0.9545454545454546,0.004595000815247762,1.2019547718932682,0.0,0.18590154807252562,0.3609724890060358
2.0,0.3,0.4,0.3,2.0,0.3107618751789616,0.8636363636363636,0.0019441360008893654,1.5358375811572655,0.1818181818181818,0.22426047436528038,0.22102801491999396
2.0,0.3,0.4,0.3,3.0,0.33266055392077337,0.9090909090909091,0.0008530164399921072,1.8473771978400633,0.1818181818181818,0.30671716678346145,0.1310975388458508
