variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
none,1.5,1,27531,0.3147466077199084,0.8181818181818182,0.0034121718549010526,1.2050512525076447,0.4545454545454545,0.28971969865369473,0.07209374094722712
stage1,1.5,1,27531,0.3158844361805607,0.8181818181818182,0.003333197912448051,1.3002815019779892,0.4545454545454545,0.28663171320991,0.07205169207515763
stage2,1.5,1,26958,0.3301400351370953,0.8181818181818182,0.0032280778737447547,1.370560541830443,0.4545454545454545,0.33815559655947297,0.049026522446735686
both,1.5,1,26958,0.33165975708278544,0.8181818181818182,0.0031649251242767936,1.3012355181030373,0.4545454545454545,0.3339484136801325,0.04927600970521379
none,1.5,2,27433,0.3294343839132833,0.8181818181818182,0.004876743559452472,1.304871714844445,0.3636363636363636,0.40871566771477225,0.027540179345245983
stage1,1.5,2,27433,0.33022324583756,0.8181818181818182,0.004887453433844284,1.3011275334080121,0.3636363636363636,0.4060461190525042,0.027540179345245983
stage2,1.5,2,26789,0.3433009009986228,0.8181818181818182,0.00474043243403811,1.4463334185475962,0.3636363636363636,0.46776490007911864,0.0019256710497584347
both,1.5,2,26789,0.3421246060884561,0.8181818181818182,0.004737510289935257,1.5915470970352548,0.3636363636363636,0.46468300427777653,0.0023428162802061983
none,1.5,3,28174,0.31204437350172337,0.8181818181818182,0.0037548577659206103,1.3189097864772101,0.3636363636363636,0.2816303657192912,0.05260930811856574
stage1,1.5,3,28174,0.3135897263527334,0.8636363636363636,0.0037247471298194608,1.3297060300838623,0.3636363636363636,0.2787617290750689,0.05261831036236665
stage2,1.5,3,27571,0.32208750893912785,0.8181818181818182,0.0035446202994575114,1.1837363812947916,0.4545454545454545,0.33265531078462596,0.02779238605907643
both,1.5,3,27571,0.32285510123427896,0.8181818181818182,0.003510693723931958,1.2441639687741395,0.4545454545454545,0.3307930897967497,0.027377556635169584
none,1.5,4,27960,0.3292845920431197,0.8636363636363636,0.0011456171687174684,1.396264725057816,0.4545454545454545,0.2283425358078154,0.06824858888272013
stage1,1.5,4,27960,0.3298283347442171,0.8636363636363636,0.0010662528694432211,1.3983450033810307,0.4545454545454545,0.2230595267155228,0.06819855297742984
stage2,1.5,4,27381,0.3361476110571179,0.8636363636363636,0.0011569274869965777,1.3219485344712356,0.4545454545454545,0.2756327921549225,0.04287606644745445
both,1.5,4,27381,0.34150764936565964,0.8636363636363636,0.0011860160226127734,1.3039170619625247,0.4545454545454545,0.2707865155322573,0.042893862241372975
none,1.5,5,25942,0.322259003592893,0.8636363636363636,0.003885885787964852,1.5290979944029828,0.3636363636363636,0.41801852716416676,0.06706251057228826
stage1,1.5,5,25942,0.32255615220316325,0.8636363636363636,0.0038640860594956594,1.495113420883694,0.3636363636363636,0.41468365107063504,0.0670625105722881
stage2,1.5,5,25326,0.34310189312804984,0.8636363636363636,0.003776382813276727,1.3685031117823672,0.2727272727272727,0.47506388076902767,0.04482707468723772
both,1.5,5,25326,0.34938190255859475,0.8636363636363636,0.003740139491944917,1.5279414537714373,0.3636363636363636,0.4729563981579071,0.04529455372769771
none,1.5,6,27920,0.35739945906724996,0.8181818181818182,0.0032399006730913973,1.3402579000116446,0.4545454545454545,0.21575985045471785,0.10592909813657744
stage1,1.5,6,27920,0.3595892671351839,0.8181818181818182,0.0032047316281550065,1.4464809224456014,0.4545454545454545,0.20794313969856945,0.10586645322509158
stage2,1.5,6,27518,0.3597613406731092,0.8181818181818182,0.0031069367901276897,1.1811130774409502,0.4545454545454545,0.25006856443398634,0.08667916702251607
both,1.5,6,27518,0.36125272380785234,0.8181818181818182,0.0030741640271296235,1.116271591856595,0.4545454545454545,0.2402099137605914,0.08655545779759226
none,1.5,7,28899,0.3043767023519492,0.8181818181818182,0.008036998704662653,1.363411872994239,0.2727272727272727,0.19998336879296838,0.1309346554296422
stage1,1.5,7,28899,0.3068090941218708,0.8181818181818182,0.007926895358274056,1.3858609227554162,0.2727272727272727,0.2011536334210564,0.13092724921697943
stage2,1.5,7,28201,0.3155114947884209,0.8181818181818182,0.007977116149687595,1.3412262205934251,0.4545454545454545,0.2469115039132788,0.10908919530544949
both,1.5,7,28201,0.32370218778385185,0.8636363636363636,0.007905327105816094,1.468458648320638,0.4545454545454545,0.2478900361697116,0.11060792938420523
none,1.5,8,27460,0.28621324573314155,0.8181818181818182,0.006336689911840238,1.343962184394916,0.3636363636363636,0.35227522745366546,0.13486812214037475
stage1,1.5,8,27460,0.2865896961145007,0.8181818181818182,0.006273709441297037,1.3105550508822796,0.3636363636363636,0.35087801848186384,0.13486812214037475
stage2,1.5,8,26765,0.3110513108982226,0.8181818181818182,0.006039405940286721,1.6702223776375162,0.3636363636363636,0.4082125716160047,0.11307526434963158
both,1.5,8,26765,0.3092431522692417,0.8181818181818182,0.005991729477559346,1.6832701696713284,0.3636363636363636,0.4088916444961643,0.11254562248174796
none,1.5,9,26947,0.3224433785765777,0.8636363636363636,0.003847053766360825,1.1994398014491936,0.4545454545454545,0.2956521332459259,0.07620187614866043
stage1,1.5,9,26947,0.3227091949474177,0.8636363636363636,0.003812914944660381,1.0802366988885783,0.4545454545454545,0.29242837730794885,0.07620014164722468
stage2,1.5,9,26377,0.33443231263039214,0.8636363636363636,0.0036995750698252477,1.360972459070369,0.4545454545454545,0.3466177830958499,0.052890100321803794
both,1.5,9,26377,0.33591960028921525,0.8636363636363636,0.003632377703482396,1.2640560983594664,0.4545454545454545,0.3421509891090538,0.05266141456386195
none,2.0,0,28310,0.36994809128252126,0.9545454545454546,0.002293112159652271,1.402422520271632,0.4545454545454545,0.3034007636590433,0.013462971228883042
stage1,2.0,0,28310,0.37115026492329634,0.9545454545454546,0.002246548108406833,1.4037464329167997,0.4545454545454545,0.2993911748213078,0.013480134001054996
stage2,2.0,0,27848,0.37426674937281573,0.9545454545454546,0.002191475279035934,1.1675354394278343,0.4545454545454545,0.34761959815626875,0.007091600333995995
both,2.0,0,27848,0.37716844278560224,0.9545454545454546,0.002132004206739009,1.1524717056137,0.4545454545454545,0.3392544556839404,0.007087401085377328
none,2.0,1,29586,0.3051741334529665,0.9545454545454546,0.0044129216593738535,1.1290853101492138,0.3636363636363636,0.09566958087039022,0.2758127035530137
stage1,2.0,1,29586,0.30540193056777254,0.9545454545454546,0.004486465015343065,1.1945902366336019,0.4545454545454545,0.09952768099931376,0.2758127035530137
stage2,2.0,1,29173,0.32242575038110693,0.9545454545454546,0.004387854547265953,1.247476961782981,0.3636363636363636,0.07644457581952294,0.26506734533451537
both,2.0,1,29173,0.3260721358497479,0.9545454545454546,0.004396512534289943,1.211664002003538,0.3636363636363636,0.07935695277893302,0.2651424124133154
none,2.0,2,28442,0.3287912999565108,0.8181818181818182,0.0035212603602319844,1.3286954573327454,0.4545454545454545,0.306478308210698,0.031527026648519266
stage1,2.0,2,28442,0.330225077320706,0.8181818181818182,0.003484175095491995,1.6601580042564945,0.4545454545454545,0.30286089189688165,0.031448406789504384
stage2,2.0,2,27900,0.3369946663196423,0.8181818181818182,0.0033484644424886466,1.079295637556346,0.4545454545454545,0.3551385262131567,0.00843696517089667
both,2.0,2,27900,0.33621160722550764,0.8181818181818182,0.0033190864464889584,1.3267181317831434,0.4545454545454545,0.35013632917157483,0.00824180206891136
none,2.0,3,28371,0.34018874330316573,0.9090909090909091,0.0023417233450606107,1.078757874864356,0.4545454545454545,0.15035544665905606,0.11260869257944076
stage1,2.0,3,28371,0.3413961809111747,0.9090909090909091,0.0022456561351142813,1.1542929902464987,0.4545454545454545,0.143018158459292,0.11260869257944076
stage2,2.0,3,27991,0.3408785027005505,0.8636363636363636,0.0021895448093576307,1.275358861954434,0.4545454545454545,0.18022405772876393,0.09485009204259937
both,2.0,3,27991,0.3446769095945609,0.9090909090909091,0.002134161322077051,1.3172930523160207,0.4545454545454545,0.1763940866704776,0.09490127696102515
none,2.0,4,28515,0.3382970672087956,0.9090909090909091,0.0020600650328535045,1.049993068714638,0.4545454545454545,0.17795135174938798,0.10685085901469607
stage1,2.0,4,28515,0.3398080086379635,0.9090909090909091,0.002017849414297443,1.063877915500247,0.4545454545454545,0.1609714674640408,0.10685085901469607
stage2,2.0,4,28168,0.34133861157062845,0.9090909090909091,0.0019497696840485882,1.1725311437591412,0.4545454545454545,0.2061591418184106,0.09062903219614303
both,2.0,4,28168,0.3436965108986469,0.9090909090909091,0.0019448741320998127,1.0662974448644635,0.4545454545454545,0.19071116613386507,0.09052507449724013
none,2.0,5,28249,0.34337075019432045,0.9545454545454546,0.002569057840018994,1.1431694708369804,0.4545454545454545,0.18507634613695892,0.11081537832566436
stage1,2.0,5,28249,0.34557516101825464,0.9545454545454546,0.0025667352087577204,1.0559626774834876,0.4545454545454545,0.17277626750923905,0.11081537832566436
stage2,2.0,5,27876,0.3445941118044615,0.9545454545454546,0.0024781919052267024,1.1176669239199222,0.4545454545454545,0.21606589670297066,0.09318424300294238
