inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.15,17,0.3169440224145812,0.8636363636363636,0.003205876445498922,1.1748131618153481,0.3636363636363636,0.060588309856994836,0.137909932637949,21912
0.2,17,0.33907520295335375,0.9545454545454546,0.0016655408119979204,1.5865035669813228,0.0909090909090909,0.25191518354700504,0.1099824467384713,19666
0.3,17,0.2754205874105521,0.7727272727272727,0.0016786478827770632,1.2748973843324258,0.0909090909090909,0.05954691927303823,0.2638894176659662,20237
0.05,18,0.3225894463402256,0.8181818181818182,0.003971825600188695,1.7091727574906588,0.2727272727272727,0.17342425546794119,0.24859013725249984,18677
0.1,18,0.3414370990926121,0.8636363636363636,0.0015392036925997146,1.3998380974903104,0.3636363636363636,0.23517788076445653,0.10442056827637335,19531
0.15,18,0.33756706114229307,0.7727272727272727,0.0014625118414734934,1.281551215221068,0.1818181818181818,0.20466095519148722,0.07915179077224152,20972
0.2,18,0.3047639511820706,0.9545454545454546,0.003327017691253169,1.4886543109006123,0.3636363636363636,0.01623129010493475,0.16920473611717884,21942
0.3,18,0.2925045946111777,0.8636363636363636,0.0018186629156026447,1.4884520451394572,0.1818181818181818,0.23841560646754983,0.16940071145427218,19502
0.05,19,0.34791295856826326,0.8181818181818182,0.0016087556893364234,1.3740155041146802,0.0909090909090909,0.17186224448998344,0.09079604278476534,20820
0.1,19,0.31957808904237067,0.9090909090909091,0.001508928763567862,1.4068367545133311,0.1818181818181818,0.18969338172708294,0.1838543872093899,19529
0.15,19,0.3408410409302738,0.8636363636363636,0.0009398980683275163,1.3680215344755213,0.0909090909090909,0.1970729063215499,0.06614453803364055,21030
0.2,19,0.34312491406788553,0.9545454545454546,0.0015862169682361272,1.2163549274934893,0.4545454545454545,0.053341489707079755,0.08811872044817921,23171
0.3,19,0.3195446466444269,0.9090909090909091,0.005056151099234371,1.2505729966651087,0.1818181818181818,0.17921770306896478,0.3541493827015589,24174
0.05,20,0.3532020759576829,0.8181818181818182,0.0013909696101642923,1.476347916661859,0.3636363636363636,0.10314512337521667,0.06277701302580287,23289
0.1,20,0.31909879258184665,0.9090909090909091,0.00405060157893384,1.5062512996501591,0.0909090909090909,0.06931134539412938,0.4091020491279434,20624
0.15,20,0.3036884660279188,0.9090909090909091,0.001771625223156226,1.3218026072816762,0.1818181818181818,0.20868458081679223,0.12397930306760371,19759
0.2,20,0.327786561674161,0.8181818181818182,0.002081947039748498,1.4108741768065183,0.0909090909090909,0.16790436954975316,0.1105747012149138,20578
0.3,20,0.3536035152630021,0.8636363636363636,0.0013531107536445105,1.2453891073666847,0.4545454545454545,0.056315763891606745,0.10207557442320075,23937
0.05,21,0.31088975723054413,0.9090909090909091,0.0016549670766898895,1.3312505799564298,0.0,0.06793704658755695,0.2245550486697337,20916
0.1,21,0.3022124476633989,0.7727272727272727,0.003681374173941468,1.5115141407333033,0.0909090909090909,0.059888179939872485,0.3727295445527217,19547
0.15,21,0.32423924312665603,0.7727272727272727,0.0034562447163411654,1.631534581917609,0.0909090909090909,0.06928519151116674,0.22248280985202007,19713
