version,eps,exper,nodes,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
improved,1.0,9,12008,46837,0.4162457440938781,0.9083333333333333,0.0019688277505506054,1.9737999290153079,0.0,0.08662669227985334,0.5467497549579196
original,1.0,10,12008,117808,0.055545065551081386,0.8916666666666667,0.002545745225958284,2.3037221497608864,0.46153846153846145,0.3513032550097082,0.37637424543930736
improved,1.0,10,12008,52644,0.4210411906250302,0.9083333333333333,0.002386116559107953,1.6691186157396352,0.0,0.21001525203004917,0.5118971639460496
original,1.0,11,12008,116544,0.05350670053428911,0.8333333333333334,0.002728528117049404,6.760435041526485,0.5384615384615384,0.2342777314128005,0.4075325947014072
improved,1.0,11,12008,42381,0.4175959621609741,0.8333333333333334,0.0025100719157430673,2.3262514750277754,0.07692307692307691,0.006029823487420866,0.4995439608000254
original,1.0,12,12008,117610,0.05365050642612257,0.85,0.0044280627260145766,7.035577524341747,0.5384615384615384,0.27264639013604086,0.42329492066711777
improved,1.0,12,12008,39395,0.4144791518067687,0.8166666666666667,0.004296943870181813,2.2672364713184825,0.0,0.007533316596073185,0.4025687458039715
original,1.0,13,12008,117099,0.04231646654371238,0.6666666666666666,0.014747695933262748,6.945548836243536,0.5384615384615384,0.5688203190337819,0.5096526832586036
improved,1.0,13,12008,26778,0.410977824947462,0.6416666666666667,0.014788825578838165,2.6279583116906085,0.23076923076923073,0.1167029015116528,0.11654184399400512
original,1.0,14,12008,117453,0.04838517100706482,0.7333333333333333,0.009718215974474005,3.184199514332784,0.5384615384615384,0.4783972644763115,0.4657157099157282
improved,1.0,14,12008,33927,0.4152226251117656,0.7666666666666667,0.009340025732466107,2.4044418821982254,0.07692307692307691,0.14434137706696265,0.26192208028267455
original,1.0,15,12008,117462,0.056279214530652884,0.9083333333333333,0.0023167993373942727,5.853019946882395,0.5384615384615384,0.3396036402183338,0.39002356864883364
improved,1.0,15,12008,50406,0.420834955442198,0.8833333333333333,0.0022181295982556504,1.7218615455503286,0.07692307692307691,0.17003731461316218,0.49626420704623153
