version,eps,exper,nodes,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
original,0.5,19,2277,30902,0.01589055092665343,0.09090909090909091,0.01322419308008118,13.551439161995296,0.6363636363636362,0.8558767553130079,0.65694082955428
improved,0.5,19,2277,5199,0.29902924129835706,0.045454545454545456,0.04675595709971605,4.7193233515262865,0.0909090909090909,0.013120767264146701,0.1593784774756248
original,0.5,20,2277,31177,0.018642110410366293,0.3181818181818182,0.023446164521278935,11.747313838454415,0.6363636363636362,0.7595962947841267,0.6114712934194484
improved,0.5,20,2277,7508,0.3034140360898432,0.3181818181818182,0.036186914806358855,3.6615946587589816,0.2727272727272727,0.02985501078847174,0.015487441592594183
original,0.5,21,2277,30794,0.01272854091576185,0.045454545454545456,0.026488939661961787,13.85832174471149,0.6363636363636362,0.8276908223345937,0.6376212276618735
improved,0.5,21,2277,6188,0.2955514121356254,0.045454545454545456,0.02005099787915845,4.03191363274675,0.1818181818181818,0.09920523257116043,0.09797690046652026
original,0.5,22,2277,30799,0.010048798687676715,0.045454545454545456,0.018137180479907315,15.530802527869016,0.6363636363636362,0.8596476515106773,0.6634231954125185
improved,0.5,22,2277,4971,0.2835339979540838,0.045454545454545456,0.061527097631966725,4.904393084159935,0.0909090909090909,0.006862854292560073,0.17543531301323873
original,0.5,23,2277,30523,0.01752901703168712,0.3181818181818182,0.030563889367493043,12.632161318670242,0.6363636363636362,0.7861003690994575,0.6291278611256498
improved,0.5,23,2277,6080,0.31065767870342753,0.3181818181818182,0.047315409897676,3.7937978359639812,0.0909090909090909,0.13354374709508732,0.11353418361808423
original,0.5,24,2277,29543,0.010348320324527786,0.3181818181818182,0.018761699372714845,13.994828777555227,0.6363636363636362,0.8650992705685944,0.6777786251275967
improved,0.5,24,2277,4176,0.2860443930403501,0.3181818181818182,0.05651473548228934,4.545650112309911,0.1818181818181818,0.03597413761309981,0.09927221338823063
original,0.5,25,2277,30805,0.010467028733775892,0.13636363636363635,0.015240604914300364,14.62165283672494,0.6363636363636362,0.8125341827653251,0.6324748883912543
improved,0.5,25,2277,6426,0.3027055901643047,0.22727272727272727,0.04134355266747363,3.9044742512205,0.0909090909090909,0.08008443824615227,0.07324601738347325
