eps,convert_ratio,oversample,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
1.5,1.0,1.3,7.0,0.22941740179744113,0.8636363636363636,0.0017124333015640673,1.0018183035972807,0.5454545454545454,0.10068846928736053,0.04598259341850354
1.5,1.0,1.3,8.0,0.14614098811544968,0.6818181818181818,0.004034061524216175,1.409051407639354,0.4545454545454545,0.1570068795631881,0.026708756596963073
1.5,1.0,1.3,9.0,0.17070752733341513,0.7272727272727273,0.0010312045089666967,0.8943047820269217,0.2727272727272727,0.03056106635593339,0.23424416923923877
2.0,1.0,1.0,0.0,0.17862700028900516,0.7272727272727273,0.0014270287965534002,1.1733264836510604,0.0909090909090909,0.30124715993180295,0.00831604460213155
2.0,1.0,1.0,1.0,0.1460822445307607,0.7272727272727273,0.0015098634861861646,1.0419544139045562,0.5454545454545454,0.12480544993380806,0.03844988909541118
2.0,1.0,1.0,2.0,0.21039294188669222,0.8181818181818182,0.003872575507263791,1.07726292786325,0.3636363636363636,0.19286189585624636,0.27806188081655914
2.0,1.0,1.0,3.0,0.19173088763970447,0.8181818181818182,0.0010922708078948224,1.0440933395237266,0.4545454545454545,0.10674346102915022,0.08030223086465453
2.0,1.0,1.0,4.0,0.20830688020499707,0.7727272727272727,0.0014762797019427169,1.2899533285667513,0.3636363636363636,0.2556152143776721,0.005415612466326934
2.0,1.0,1.0,5.0,0.16483533504766817,0.9090909090909091,0.004109776420273044,1.282221914342587,0.1818181818181818,0.03744089713758935,0.13709935665479933
2.0,1.0,1.0,6.0,0.18494866635563117,0.8181818181818182,0.0011385072004013693,1.0975788275579852,0.3636363636363636,0.20432075839576289,0.05847758817065352
2.0,1.0,1.0,7.0,0.20574611442025392,0.8181818181818182,0.001429837525724618,1.2605702402535441,0.2727272727272727,0.020080460163216816,0.17563000010447988
2.0,1.0,1.0,8.0,0.1609151289431694,0.8181818181818182,0.0011254870268721429,1.0780546847572663,0.2727272727272727,0.1671527070679155,0.11767238307729974
2.0,1.0,1.0,9.0,0.1702391267289366,0.8636363636363636,0.0025137520763084437,1.6117355450005215,0.3636363636363636,0.08188477162645605,0.08906155230216134
2.0,1.0,1.1,0.0,0.1524650588911403,0.7727272727272727,0.0038319016041208696,1.1585752798586246,0.4545454545454545,0.006621343113470826,0.1300257026410827
2.0,1.0,1.1,1.0,0.19868186304791877,0.7727272727272727,0.002989516390805361,1.2656234645293978,0.2727272727272727,0.08573228068646672,0.2481542360481967
2.0,1.0,1.1,2.0,0.1878194904428468,0.8181818181818182,0.0023317339395945856,1.2848243541363664,0.4545454545454545,0.16019508486607867,0.014135948175948092
2.0,1.0,1.1,3.0,0.17400550168655565,0.8636363636363636,0.0016582798705064364,1.4644973680115352,0.4545454545454545,0.1787857349313709,0.03234645553034862
2.0,1.0,1.1,4.0,0.19262338840067983,0.9090909090909091,0.0011586303992816584,1.0642846117727862,0.2727272727272727,0.031103831895808978,0.1603804044952117
2.0,1.0,1.1,5.0,0.2022543863725084,0.8636363636363636,0.0011033075001366938,1.2802773330282962,0.1818181818181818,0.16030599169949283,0.14477376705715417
2.0,1.0,1.1,6.0,0.22902698569229013,0.8181818181818182,0.0023764580833287277,1.3990452348813696,0.1818181818181818,0.1464276417146835,0.07305289885627736
2.0,1.0,1.1,7.0,0.20036265978152976,0.8636363636363636,0.0018189763893342971,1.065528107903475,0.2727272727272727,0.117991013601865,0.01731816793903321
2.0,1.0,1.1,8.0,0.19730731700506168,0.7272727272727273,0.004174747093707755,1.2519811177996203,0.3636363636363636,0.043428862982144094,0.21828935054233944
2.0,1.0,1.1,9.0,0.18934429178051604,0.9090909090909091,0.0010307936270257648,1.0129011474926104,0.3636363636363636,0.03687373253535058,0.14407496031386402
2.0,1.0,1.2,0.0,0.25422650846737066,0.9090909090909091,0.0030683623254362555,1.2661023741682713,0.3636363636363636,0.0766685594700413,0.1008776541958034
2.0,1.0,1.2,1.0,0.1866221463905937,0.8181818181818182,0.0009449372469505943,1.095066336034822,0.4545454545454545,0.28095416305292586,0.03329213518022607
2.0,1.0,1.2,2.0,0.2427509507228156,0.7727272727272727,0.0013079381892983424,1.6361571793885528,0.0909090909090909,0.1216847100361537,0.10997497370440928
2.0,1.0,1.2,3.0,0.15194201071979413,0.8636363636363636,0.0005326315048586737,1.0797338066808573,0.5454545454545454,0.10348887155817221,0.07871593030650748
2.0,1.0,1.2,4.0,0.16740205126792965,0.7272727272727273,0.012357226577989584,1.023646943096408,0.1818181818181818,0.38790300325711957,0.6890964551000158
2.0,1.0,1.2,5.0,0.18822495535155706,0.6363636363636364,0.007197880685945432,1.1235398443886502,0.2727272727272727,0.16441685818632965,0.24080686591254588
2.0,1.0,1.2,6.0,0.24843911132973387,0.9090909090909091,0.0014584099904119414,1.3666353562556703,0.4545454545454545,0.05035618791191403,0.11631610555973361
2.0,1.0,1.2,7.0,0.19925491217626745,0.9090909090909091,0.0016404534118684112,1.0750084635549348,0.3636363636363636,0.06640154262341927,0.10392441800176477
2.0,1.0,1.2,8.0,0.18554743759064213,0.9090909090909091,0.0013333752239985013,0.9857070013599708,0.0909090909090909,0.2002418815343434,0.0063645774269522025
2.0,1.0,1.2,9.0,0.1902682424146971,0.8636363636363636,0.000714344426849239,0.9615754638725196,0.5454545454545454,0.22023469489600658,0.023187477102702157
2.0,1.0,1.3,0.0,0.23316069177326645,0.8181818181818182,0.0009827614530577642,1.1319514234943715,0.1818181818181818,0.1676699690463099,0.04168494938568662
2.0,1.0,1.3,1.0,0.17105270217904087,0.8181818181818182,0.0010270743715513721,1.2400095208789619,0.3636363636363636,0.1702001979486942,0.04708747415381429
