intra_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.05,5,0.3324609700404473,0.8636363636363636,0.001599601850483424,1.3552301996678997,0.3636363636363636,0.299828657372133,0.1090321428421348,19244
0.05,6,0.3213957385257313,0.8636363636363636,0.0010424268508580914,1.3546827001404644,0.0,0.3344085496136362,0.12327740976130484,17993
0.05,7,0.3234679935764851,0.8636363636363636,0.0035591237272550244,1.8796333426030267,0.1818181818181818,0.033166234852433855,0.33847885663243005,20443
0.05,8,0.32073011800247386,0.9090909090909091,0.006797672435782226,1.5903966803300025,0.0909090909090909,0.13749091944938735,0.3319441667804467,21158
0.05,9,0.3090045566377711,0.8636363636363636,0.0024669580451239276,1.306239068213396,0.0909090909090909,0.011961691642118468,0.2757123011343693,21305
0.1,0,0.3163211089946626,0.7727272727272727,0.0022212490302017437,1.2575647099190674,0.3636363636363636,0.1487528050642134,0.09964498714989622,21839
0.1,1,0.33951994670836083,0.8636363636363636,0.0018449846159675916,1.5621708701244243,0.0,0.20265551319387973,0.09944703885986876,21780
0.1,2,0.3096096922355852,0.9545454545454546,0.00276657524077191,1.3181353036625154,0.2727272727272727,0.04618234278245429,0.17474921116695896,21876
0.1,3,0.3410083766344343,0.9090909090909091,0.001774310352485145,1.1947126997605333,0.4545454545454545,0.1193321667341438,0.10052113203877662,23160
0.1,4,0.31747177177686864,0.8181818181818182,0.0024802232989851554,1.3169494792489236,0.0,0.1663726430715618,0.168532086886702,21292
0.1,5,0.34261673868100756,0.9090909090909091,0.0018734769290732719,1.2318322255862109,0.3636363636363636,0.11612950943665727,0.09347101940680032,22728
0.1,6,0.2934856229275141,0.7272727272727273,0.00509981802329297,1.4609392792511386,0.0,0.014576224199525313,0.3567961993522146,21071
0.1,7,0.3237969809077124,0.8181818181818182,0.0018773539575510916,1.6076081708292143,0.0909090909090909,0.18574880916387837,0.11789810397708932,21332
0.1,8,0.30068773205639604,0.6818181818181818,0.007369534805219677,1.2690847325199024,0.1818181818181818,0.12231100611919736,0.45254501897621074,22428
0.1,9,0.33025165323086053,0.9090909090909091,0.00303450307019059,1.4011588116294555,0.1818181818181818,0.18303759750063095,0.10793930184212944,21477
0.15,0,0.3120177565539436,0.7727272727272727,0.000790419826908047,1.5226133466193708,0.0909090909090909,0.22384552016071246,0.13563388958150774,19741
0.15,1,0.3087865083747433,0.7727272727272727,0.005974462626288504,1.2728038520230804,0.3636363636363636,0.0477366656461995,0.3215329996403647,23067
0.15,2,0.30797269637923985,0.9090909090909091,0.0010699627257061146,1.3958641932640594,0.0909090909090909,0.24911389184287652,0.10686539922567717,20082
0.15,3,0.32733244656047766,0.8636363636363636,0.0010478695394925237,1.3980171202142233,0.2727272727272727,0.2844060679744533,0.10789044411414041,19664
0.15,4,0.30340551490208983,0.8181818181818182,0.002762569388907508,1.1658674822859323,0.3636363636363636,0.001092814181606973,0.22587280846553714,22609
0.15,5,0.3076016351794593,0.9090909090909091,0.0023598107180242242,1.2822355402301517,0.1818181818181818,0.18933205711194495,0.1342159643502247,21156
0.15,6,0.28721489829380076,0.7727272727272727,0.0031547453009167447,1.3709052140757672,0.3636363636363636,0.03833063561835239,0.3271452394845787,21052
0.15,7,0.3199441556784965,0.9090909090909091,0.0018640743740074516,1.3265533679073955,0.3636363636363636,0.1394947422219927,0.1195935094796434,21472
0.15,8,0.33229217705003866,0.8636363636363636,0.0005926249807746584,1.2762996362483496,0.0,0.23873771889076653,0.09504195553667005,21556
0.15,9,0.3489351576252667,0.8181818181818182,0.0019750688849450707,1.3100390027009543,0.3636363636363636,0.09686471927065277,0.10501299258112926,23547
0.0,10,0.3554499497000856,0.8181818181818182,0.002538920974798485,1.5243691299300364,0.2727272727272727,0.21433582503376644,0.050644255990542585,19817
0.05,10,0.27328770250075823,0.8636363636363636,0.003615185901568485,1.3266972340495506,0.2727272727272727,0.019635556128056276,0.23771295519000876,20575
0.1,10,0.3098925178166698,0.8181818181818182,0.0012548321253445743,1.4921547206842483,0.0909090909090909,0.19120610176410863,0.1268386117560241,19856
0.15,10,0.2900435728927317,0.8636363636363636,0.0023384450998266953,1.2611250698330103,0.0909090909090909,0.0903810329679939,0.2192452691835384,21042
0.0,11,0.3204306858092993,0.8636363636363636,0.004248528411338317,1.5134498198545,0.3636363636363636,0.001133095589845759,0.19394273872721454,20873
0.05,11,0.30077536366282276,0.8636363636363636,0.0015354751361884773,1.8943878407584336,0.2727272727272727,0.14869602600189444,0.2615498966651244,19514
0.1,11,0.3023662320419599,0.7727272727272727,0.001142276120931197,1.1949167516469927,0.1818181818181818,0.08229090883646846,0.2680629179901811,23751
0.15,11,0.31315451489615015,0.8636363636363636,0.0016572548211291843,1.5495512290553926,0.3636363636363636,0.3064155085260947,0.05632566754477126,19511
0.0,12,0.32799807605672676,0.9090909090909091,0.002434425643604481,1.500635413516616,0.1818181818181818,0.013860723973468637,0.23898042272820033,20789
0.05,12,0.35003244448744997,0.9090909090909091,0.002303904973829166,1.4196874566688873,0.1818181818181818,0.205807459532112,0.061421453633853366,21761
0.1,12,0.307199810875626,0.8636363636363636,0.0018076179105648805,1.5386499095233537,0.1818181818181818,0.18940364897170364,0.06312855391359884,20144
0.15,12,0.3157377934964265,0.7727272727272727,0.0011138103605512326,1.5659604282866137,0.3636363636363636,0.056444323585695615,0.20486289517232786,21229
0.0,13,0.3147385727710433,0.8181818181818182,0.0024821411735939354,1.4431030108602276,0.0909090909090909,0.1790038441304343,0.2528337392463465,18764
