swap_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.1,14,0.30597075095918486,0.8636363636363636,0.0025826988528814556,1.3431603630622948,0.0909090909090909,0.0982752641899106,0.2460322861999362,20079
0.3,14,0.36220370978378297,0.9090909090909091,0.001824777599570786,1.4666660089848262,0.1818181818181818,0.1681856598294094,0.0630805076146649,22076
0.5,14,0.35143926484533256,0.9090909090909091,0.0017525168884329756,1.432479821546337,0.0909090909090909,0.21613069394109272,0.05489670200274033,20853
0.7,14,0.30859812163053724,0.8636363636363636,0.002367559975407303,1.652043624376692,0.0,0.20236534785883942,0.18703557593293355,18906
0.0,15,0.3098506549484111,0.7727272727272727,0.001213987899797897,1.44306969668673,0.0,0.0826684448810209,0.2070300782488003,20965
0.1,15,0.3223162633315732,0.8181818181818182,0.0010099550423846083,1.9726707392769942,0.0909090909090909,0.34892998015199705,0.19511993389438478,17494
0.3,15,0.3506679614635101,0.8181818181818182,0.0011403912055956455,1.5760547163297582,0.3636363636363636,0.15216254948984723,0.07372012648168519,22332
0.5,15,0.33333841758552124,0.6818181818181818,0.0016336275163982257,1.2468584928105635,0.1818181818181818,0.23491313998560395,0.054470179397706,20970
0.7,15,0.36222861183880545,0.7272727272727273,0.0005967715923688217,1.5138467518721739,0.0,0.30238100823569036,0.040287332598685076,20489
0.0,16,0.28732286639276283,0.7272727272727273,0.004654887832733263,1.3058547236381912,0.0909090909090909,0.0947856163727212,0.3910755017990322,21223
0.1,16,0.29664501408191407,0.8181818181818182,0.0059415670683455124,1.3475736924846566,0.2727272727272727,0.07101170579013569,0.24442741340383886,21866
0.3,16,0.2917718206304632,0.8636363636363636,0.0009405205952727348,1.7410269466764712,0.0,0.12242158020029816,0.28551698953563215,18059
0.5,16,0.291573020855746,0.8181818181818182,0.005669512377627885,1.323335075353623,0.1818181818181818,0.14362669175224496,0.5566340127935937,20516
0.7,16,0.3290440424668151,0.6818181818181818,0.007699503175043443,1.7397537705227364,0.0909090909090909,0.21663990591555457,0.0038905933332489574,16813
0.0,17,0.3518929900984563,0.8636363636363636,0.0022024943072037773,1.6694031063445385,0.0,0.16098348177855365,0.07302738697639581,22320
