dataset,eps,intra_ratio,inter_ratio,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,1,0.2,0.9,0.1797489406045014,0.6,0.009693396117566193,2.6433745928721897,0.3636363636363636,0.2795768028649121,0.12767859036975612,12440.6
Chamelon,1,0.2,1.0,0.1828151387276377,0.4454545454545455,0.004230126316532591,2.3419559816794,0.43636363636363634,0.20301791164689242,0.18566349712625935,13883.2
Chamelon,1,0.3,0.1,0.21085245751338744,0.6909090909090909,0.0036236842636263493,2.1761995575830584,0.3454545454545454,0.27572072173977646,0.22893534327623116,14434.6
Chamelon,1,0.3,0.2,0.19823925609986937,0.7272727272727273,0.004963647378001025,1.9186526050935289,0.3818181818181817,0.2544488792639281,0.22254850878026597,15644.8
Chamelon,1,0.3,0.3,0.18016634084934027,0.4454545454545455,0.005638313485862716,2.508566672199325,0.32727272727272727,0.3241983068087394,0.1445398636070569,13312.8
Chamelon,1,0.3,0.4,0.17527607953842056,0.7181818181818181,0.0030116443977742297,2.086733182034178,0.32727272727272727,0.31071685510065683,0.2638011825231438,14460.8
Chamelon,1,0.3,0.5,0.16373034008605808,0.6909090909090909,0.0034287351054572064,2.367793307565953,0.3636363636363636,0.299776772890347,0.28971202997730516,14788.6
Chamelon,1,0.3,0.6,0.16946556280819847,0.6454545454545454,0.003046632384069645,2.5998807495938614,0.2909090909090909,0.3146554386798354,0.16895520988150042,12796.2
Chamelon,1,0.3,0.7,0.19377352013619517,0.7090909090909091,0.004270231468663754,1.9055304074091879,0.43636363636363634,0.2803643012895778,0.21626138744801401,16323.8
Chamelon,1,0.3,0.8,0.16009080678969118,0.5818181818181818,0.006099174542455046,2.5033194830047734,0.2909090909090909,0.2764292474035587,0.17987176334993535,12658.8
Chamelon,1,0.3,0.9,0.16982012516126987,0.5727272727272726,0.009584962151655052,2.429474154124426,0.43636363636363634,0.3153981573501393,0.08803297545524065,12051.8
Chamelon,1,0.3,1.0,0.17026059160944346,0.6909090909090909,0.0078179752073968,2.208569004135218,0.4545454545454545,0.2961271966054793,0.18544638720641426,14011.4
Chamelon,1,0.4,0.1,0.18655308497672202,0.5272727272727272,0.004305295750524588,2.174162217654254,0.5999999999999999,0.279040590495706,0.13623106109852423,13859.0
Chamelon,1,0.4,0.2,0.16875051156422932,0.509090909090909,0.0065661906165928475,2.3147065207844904,0.43636363636363634,0.3193075781030531,0.20057214431769443,13225.2
Chamelon,1,0.4,0.3,0.19130838330984465,0.7272727272727273,0.002643516360927077,2.0749229257651596,0.4545454545454545,0.38935241476565263,0.15930016629726051,15219.6
Chamelon,1,0.4,0.4,0.1807549955978668,0.7545454545454545,0.002015403797425442,2.0399260428291344,0.43636363636363634,0.3709433800869711,0.19113340846400056,15302.6
Chamelon,1,0.4,0.5,0.1733688187065801,0.6181818181818182,0.003533698975379457,2.400223841780769,0.509090909090909,0.24472983900554227,0.26991682146546364,13939.6
Chamelon,1,0.4,0.6,0.17448056015624644,0.6636363636363637,0.012371383718027935,2.331873332578696,0.3636363636363636,0.367354269737452,0.18604527004902138,14542.4
Chamelon,1,0.4,0.7,0.1767353606114216,0.5818181818181818,0.0078040954549762846,2.256220977842186,0.47272727272727266,0.28954952588268884,0.1413299243956278,14499.6
Chamelon,1,0.4,0.8,0.16457470953695713,0.7545454545454545,0.007417842724739616,1.9819221142214865,0.49090909090909085,0.08926710337960414,0.3180434586275396,15890.0
Chamelon,1,0.4,0.9,0.17230104596975054,0.7,0.002509759729645047,2.218585125953953,0.5272727272727272,0.358301608528008,0.22121419792440672,15771.0
Chamelon,1,0.4,1.0,0.16889095602293014,0.5363636363636364,0.008292748997367552,2.161806655006837,0.43636363636363634,0.21551779559771295,0.2008449419204469,14797.2
Chamelon,1,0.5,0.1,0.16523740334622958,0.6545454545454545,0.014747783168489698,2.939517682908303,0.6363636363636364,0.525716330732855,0.1309561100171347,12498.4
Chamelon,1,0.5,0.2,0.17447439660703304,0.6909090909090908,0.001802516580004079,2.312667926457301,0.5454545454545454,0.4266845365186108,0.11087651982773442,13904.4
Chamelon,1,0.5,0.3,0.16895782009564975,0.6636363636363637,0.01062449462925484,2.475940260771543,0.709090909090909,0.29288651172405233,0.20789251033204964,13050.4
Chamelon,1,0.5,0.4,0.18205908602283433,0.7090909090909091,0.0036412111681406664,2.104181315048814,0.818181818181818,0.44069660524924287,0.21375760186503237,15084.8
