mode,e3_target,eps,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,5,0.21067131543316428,0.9090909090909091,0.004642064558919736,1.1259284705137422,0.2727272727272727,0.07787321499936677,0.20488409443681477
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,6,0.24288698045520607,0.8636363636363636,0.001155401714277334,0.935104778778391,0.2727272727272727,0.06115508716789868,0.18191187077734333
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,7,0.20183596125810177,0.9090909090909091,0.00470771814703804,0.8649237396143525,0.4545454545454545,0.09647516280332132,0.24343250081390394
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,8,0.29250533002373863,0.9090909090909091,0.0022510188787555623,0.7822709865030417,0.1818181818181818,0.07095670637988914,0.14999335726345772
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,9,0.23183161687263212,0.9090909090909091,0.0032851981978125775,0.9465887014192128,0.3636363636363636,0.12419323617544342,0.1887002176897383
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,0,0.07417019860690155,0.36363636363636365,0.01629387235013894,4.7389911884676925,0.5454545454545454,0.3356273513517264,0.41260650697950885
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,1,0.10196139513507751,0.6818181818181818,0.004579030825117286,4.037769337104201,0.5454545454545454,0.10969375730754753,0.3758962891418986
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,2,0.1290796526229929,0.7727272727272727,0.0033505433091696925,2.88270512221529,0.5454545454545454,0.06871385890410174,0.38752365217659096
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,3,0.09793405031743635,0.6818181818181818,0.0018936176920245679,4.095990077636905,0.5454545454545454,0.06361906893060336,0.3803050016717382
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,4,0.07257126359063208,0.5909090909090909,0.0028425066669266735,5.889395319119137,0.5454545454545454,0.16975001148134106,0.47417308390634344
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,5,0.11240409595558075,0.7272727272727273,0.001709291059704606,4.473453902417929,0.5454545454545454,0.02467503126449836,0.3808500245293998
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,6,0.09839770652209924,0.7272727272727273,0.001929715243398124,4.350679385709439,0.5454545454545454,0.11287188813428173,0.40222257866300787
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,7,0.1014772566142095,0.6818181818181818,0.0042111712879918444,4.348641221624522,0.5454545454545454,0.12197602152453817,0.4039256990088874
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,8,0.06758332373444056,0.0,0.009837948925623048,5.265763799856106,0.5454545454545454,0.43092245954092073,0.4572343392855809
sweep_e3=0.15,0.15,1,0.4759,0.3741,0.15,9,0.10870015609811559,0.7272727272727273,0.0021194945220417895,3.0009313925760024,0.5454545454545454,0.13102957769664247,0.39835157822715395
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,0,0.1812090737311989,0.8636363636363636,0.0026573298872660245,1.0671676558156953,0.3636363636363636,0.03342022604810965,0.21757086472467035
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,1,0.21765161977650582,0.8181818181818182,0.0015070909245480323,1.0650355322317497,0.4545454545454545,0.0362614214979457,0.24638732031470784
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,2,0.21366966517962319,0.8181818181818182,0.0013421873202514622,1.1796540723597002,0.4545454545454545,0.05574489030246855,0.24356598866910067
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,3,0.18804165084458987,0.8636363636363636,0.0022098774204112577,0.9629990652623373,0.3636363636363636,0.17470742477409118,0.38092576857846466
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,4,0.20816200451947608,0.8181818181818182,0.0020075106862922185,0.8465064582684452,0.3636363636363636,0.0064390693154939655,0.23012354747908256
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,5,0.18082320347504496,0.8636363636363636,0.002904960393104079,1.0384854302298194,0.4545454545454545,0.06762665608982542,0.27419444605551646
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,6,0.1762968045954609,0.8181818181818182,0.0029647677494671312,1.1047816915404622,0.4545454545454545,0.10245296784665528,0.3285405372260408
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,7,0.16767420211818043,0.8636363636363636,0.003362114352696956,1.0326092683490598,0.4545454545454545,0.09938707845671954,0.3167262040285885
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,8,0.22056576502840622,0.8636363636363636,0.0024576955253499196,0.8514435658664918,0.3636363636363636,0.03885793800165593,0.20019398921766668
sweep_e3=0.15,0.15,2,0.2944,0.5556,0.15,9,0.19610488043157967,0.9545454545454546,0.004621292312646518,1.1267325237102468,0.3636363636363636,0.14453365623358275,0.3079471057337707
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,0,0.2392037362346829,0.9090909090909091,0.003948224365773883,1.0134150207923436,0.3636363636363636,0.0822342388122687,0.22647021243846346
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,1,0.19808717973959805,0.9090909090909091,0.0022877434455805157,0.9229541038772295,0.4545454545454545,0.09529805967650828,0.2700275579168109
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,2,0.21385690888965173,0.9090909090909091,0.002750744242623694,0.8400897105978506,0.2727272727272727,0.2244411172894999,0.34446404011214726
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,3,0.2847978653278987,0.9090909090909091,0.001931846293454468,0.8242417146246375,0.2727272727272727,0.058092802006489336,0.18124822636024795
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,4,0.19669120967806603,0.7727272727272727,0.00206625146825421,0.9282825515031977,0.4545454545454545,0.06632387001087464,0.260266035742384
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,5,0.22452334655995132,0.8636363636363636,0.0015542299732163734,0.9083634570424473,0.3636363636363636,0.02538746874560549,0.21716962280051944
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,6,0.18206249114818368,0.8636363636363636,0.0032748946544275213,1.2606497507534984,0.4545454545454545,0.04992021102543764,0.2612190948869392
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,7,0.2738775928572175,0.9545454545454546,0.003962395340608408,0.9370641786171248,0.2727272727272727,0.08770849991143814,0.18423884304073035
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,8,0.1783380407570631,0.7272727272727273,0.00881250003049332,1.0560024526988916,0.3636363636363636,0.211612839890618,0.36914685579186013
sweep_e3=0.15,0.15,3,0.2339,0.6161,0.15,9,0.2716513776914881,0.9090909090909091,0.004156154478453112,0.9514496596052662,0.3636363636363636,0.0893066767763195,0.18613741588152388
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,0,0.11171629220193423,0.7727272727272727,0.003052734774948544,4.8849949464974625,0.5454545454545454,0.13011482424958265,0.43167453241524306
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,1,0.08045786004281444,0.5454545454545454,0.012513901177508797,9.362491124368532,0.6363636363636362,0.29382812082572923,0.4609275885318235
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,2,0.07377317839971764,0.6363636363636364,0.0041517262606655,7.146833906475234,0.6363636363636362,0.3118643714595676,0.4986951768380987
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,3,0.0863723148095384,0.5909090909090909,0.002369888123943312,5.557583965848832,0.5454545454545454,0.13740918849202657,0.43274714042964846
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,4,0.07387510056355391,0.5909090909090909,0.0033351357326076737,4.7104532196911775,0.6363636363636362,0.212322278113318,0.4483282423156496
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,5,0.10157758234270986,0.6818181818181818,0.0029471727869618343,2.7444263938840296,0.5454545454545454,0.15805317928868068,0.35833293653501214
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,6,0.11179052017026735,0.6818181818181818,0.0032642167360760065,5.909060253530262,0.5454545454545454,0.0814983381355747,0.39657586297297426
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,7,0.09926144407311382,0.6818181818181818,0.004771964557784549,4.862949102207998,0.5454545454545454,0.13407032128487303,0.4131003849646425
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,8,0.11362597279719922,0.6363636363636364,0.0041230850388704705,5.399484747713966,0.5454545454545454,0.10307392249348839,0.3733681396235147
sweep_e3=0.20,0.2,1,0.4759,0.3241,0.2,9,0.11318359370226425,0.6363636363636364,0.0018504593463130154,1.8835735344192006,0.5454545454545454,0.10158209236573344,0.43487843063928133
sweep_e3=0.20,0.2,2,0.2944,0.5056,0.2,0,0.17523712732358268,0.8636363636363636,0.002800591371673968,1.0844528679176013,0.5454545454545454,0.051653832032272216,0.3251903891924227
sweep_e3=0.20,0.2,2,0.2944,0.5056,0.2,1,0.20475403674353737,0.8636363636363636,0.0025340331114013766,0.9202833288800021,0.3636363636363636,0.03574911286462632,0.24582782399156264
