variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
both,1.5,7,104897,0.40988776130194593,0.925,0.000893286451548244,1.6940497792035578,0.23076923076923073,0.1569697615953562,0.06492153427127934
none,1.5,8,110452,0.38007856892015607,0.9583333333333334,0.0012697784443252919,1.473719645277614,0.30769230769230765,0.3253867866155982,0.053510419771075735
stage1,1.5,8,110452,0.38060313105947674,0.9583333333333334,0.001308994051188512,1.4650699629809736,0.30769230769230765,0.32544062466387064,0.05350984772103156
stage2,1.5,8,107555,0.41174567631641745,0.9583333333333334,0.0012696271919412296,1.6543146001863127,0.3846153846153846,0.3042990932502195,0.041596913240826934
both,1.5,8,107555,0.41368152621554904,0.9583333333333334,0.0013112944977487872,1.653435930433996,0.3846153846153846,0.3045680048920867,0.04204952379884376
none,1.5,9,105020,0.3791802527160883,0.95,0.0011938899066301347,1.5295283074100736,0.07692307692307691,0.24085408085743956,0.03403088509823381
stage1,1.5,9,105020,0.37964861434244895,0.95,0.0012112444287508677,1.5394089746994704,0.07692307692307691,0.24088130100873567,0.034021102856183656
stage2,1.5,9,101934,0.4189589300043421,0.95,0.0011921332579941711,1.8368002013096085,0.23076923076923073,0.21789120639034404,0.026029366698715105
both,1.5,9,101934,0.42054093256108216,0.95,0.0012081929335117712,1.8360777018733836,0.23076923076923073,0.21788951910037704,0.02622588076889642
none,2.0,0,112062,0.3830165537948805,0.975,0.003526037587418865,1.2480034651184158,0.3846153846153846,0.48848793856367934,0.19816085424502056
stage1,2.0,0,112062,0.3842500191936739,0.975,0.0036162159312225924,1.2617842108173516,0.3846153846153846,0.48896871344647774,0.19814811963938472
stage2,2.0,0,109889,0.40175975142738357,0.975,0.0035241939380658764,1.3780713767739667,0.46153846153846145,0.47572157425633277,0.18915447750769543
both,2.0,0,109889,0.4016608276467085,0.975,0.0035869426279591197,1.4023568753073512,0.3846153846153846,0.4759077946244822,0.18883459914045053
none,2.0,1,115730,0.374466270554127,0.9583333333333334,0.0029497239368307384,1.0310524244304053,0.46153846153846145,0.5013076642700626,0.19337364139835564
stage1,2.0,1,115730,0.3755179122312002,0.9583333333333334,0.003042518568410634,1.110193773594532,0.3846153846153846,0.5026472705192084,0.19335149380423639
stage2,2.0,1,113638,0.3875404035963317,0.9583333333333334,0.0029460229369546267,1.1096642142266941,0.46153846153846145,0.4891551058848317,0.1793391896359922
both,2.0,1,113638,0.3895011603542733,0.9583333333333334,0.003073905482931612,1.1972001082334394,0.46153846153846145,0.490664318944492,0.17940799189324266
none,2.0,2,115802,0.3731754178336514,0.9583333333333334,0.0045978399414631855,1.1847221286295186,0.30769230769230765,0.6141952853142725,0.2955828985401205
stage1,2.0,2,115802,0.3736752023310573,0.9583333333333334,0.004773472984193916,1.1908106499230924,0.30769230769230765,0.6142950436363708,0.29556560279331595
stage2,2.0,2,113810,0.3929689610248377,0.9583333333333334,0.004596878195297875,1.3443882515906576,0.30769230769230765,0.6070750447026378,0.28944030216167665
both,2.0,2,113810,0.39340332820572993,0.9583333333333334,0.004768012948820536,1.3062271097130378,0.23076923076923073,0.6071549421938429,0.2892265841279113
none,2.0,3,113638,0.3847158267295268,0.9583333333333334,0.003074008537225886,1.204481892021706,0.3846153846153846,0.49869723675745004,0.19816478592853856
stage1,2.0,3,113638,0.385561788065786,0.9666666666666667,0.0032000034283524584,1.2066027991678299,0.3846153846153846,0.4994401464074955,0.1981255588408158
stage2,2.0,3,111520,0.4001787710451254,0.9583333333333334,0.0030719644698908905,1.3085503466995794,0.46153846153846145,0.4863051995096418,0.1872342644853673
both,2.0,3,111520,0.4014070919089265,0.9583333333333334,0.0031960176794539248,1.291508967583695,0.46153846153846145,0.4868714847751192,0.18687822382954533
none,2.0,4,116303,0.3768940194472464,0.9666666666666667,0.0036158212668147755,1.1333593296949398,0.3846153846153846,0.5092152643305999,0.16586146688847817
stage1,2.0,4,116303,0.3785447269293409,0.9666666666666667,0.003729186932417525,1.144903165498172,0.3846153846153846,0.5089792568891969,0.16582109691143232
stage2,2.0,4,114247,0.39270991130400823,0.9666666666666667,0.0036137165246657157,1.236612520309959,0.3846153846153846,0.49841630991084696,0.155129750569059
both,2.0,4,114247,0.3941317478903266,0.9666666666666667,0.003724280024483709,1.2516075520443604,0.3846153846153846,0.4982445415172266,0.154813689126047
none,2.0,5,114910,0.37899660561364984,0.975,0.0032648628562095285,1.1775198473985107,0.30769230769230765,0.49529709555350937,0.1703075397603221
stage1,2.0,5,114910,0.38010487814177885,0.975,0.0033748060977429593,1.155280638497577,0.30769230769230765,0.49586289320617466,0.17026738013667395
stage2,2.0,5,112799,0.3934771711208042,0.975,0.003260814558296861,1.2281558851143277,0.46153846153846145,0.4829482304367917,0.15799312664464182
both,2.0,5,112799,0.3938704584625217,0.975,0.0033864908614069174,1.2274609993977645,0.30769230769230765,0.48378442682861517,0.1578379387001393
none,2.0,6,113865,0.38149094026499514,0.9666666666666667,0.003495001707853467,1.1241199506299469,0.3846153846153846,0.5078306686834985,0.19610871500328825
stage1,2.0,6,113865,0.38268933359700885,0.9583333333333334,0.0036256308824724956,1.0776179269281545,0.3846153846153846,0.5082213164067729,0.19604801663224333
stage2,2.0,6,111819,0.39743108452262726,0.9666666666666667,0.0034921003120602116,1.2636323391877922,0.46153846153846145,0.49654206285456576,0.18493934107588939
