method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,orig_edges,edge_ratio,comm_n,mod_raw,mod_orig
V6-CL-ir0.1,1.5,0,0.3741873056995925,0.95,0.00161674055009564,1.4302941195214676,0.23076923076923073,0.34270085692068025,0.05341509654989617,110973,118489,0.9366,8,0.621821,0.65691
V6-CL-ir0.1,1.5,1,0.37110117703866263,0.95,0.0006787635317656033,1.3589115492194586,0.23076923076923073,0.2921380242143609,0.009754740259577168,112274,118489,0.9475,7,0.650502,0.65691
V6-CL-ir0.1,1.5,2,0.3702511120594498,0.95,0.002286444824774658,1.4932866217825684,0.15384615384615383,0.3853080046234964,0.09217872631307954,112961,118489,0.9533,8,0.596357,0.65691
V6-CL-ir0.1,1.5,3,0.37047116146252385,0.95,0.002803242624444843,1.438856657264816,0.15384615384615383,0.3865067054822278,0.0961328440961877,112094,118489,0.946,9,0.59376,0.65691
V6-CL-ir0.1,1.5,4,0.37462633062195494,0.9833333333333333,0.0021803636361709413,1.3961013001203038,0.30769230769230765,0.3984084364298794,0.08957586271899497,112548,118489,0.9499,8,0.598067,0.65691
V6-CL-ir0.1,2.0,0,0.36766048964365444,0.9666666666666667,0.0019140364535761478,1.1146013716968088,0.46153846153846145,0.4414983138609364,0.12283765356758808,116007,118489,0.9791,4,0.576217,0.65691
V6-CL-ir0.1,2.0,1,0.37301243116508526,0.9833333333333333,0.0031058174090751217,1.164058157970001,0.3846153846153846,0.4841601184837235,0.13443230177515905,116144,118489,0.9802,5,0.5686,0.65691
V6-CL-ir0.1,2.0,2,0.36287112421118817,0.95,0.0037979180757662253,1.1085425083568174,0.3846153846153846,0.5518391543712013,0.21892599026640447,116712,118489,0.985,4,0.513096,0.65691
V6-CL-ir0.1,2.0,3,0.3679364982589509,0.9583333333333334,0.00374387774602101,1.2600895960162,0.30769230769230765,0.556468026584239,0.2321324874227228,114738,118489,0.9683,6,0.50442,0.65691
V6-CL-ir0.1,2.0,4,0.3679036426891457,0.9583333333333334,0.0025905676419599277,1.1956860635843927,0.3846153846153846,0.48292873032177186,0.168936012158911,114316,118489,0.9648,5,0.545934,0.65691
V6-CL-ir0.1,2.5,0,0.37430974112572907,0.9416666666666667,0.00270184752102628,1.0567625907456424,0.30769230769230765,0.48583627842186977,0.14840499725936662,114662,118489,0.9677,4,0.559422,0.65691
V6-CL-ir0.1,2.5,1,0.3629193268557412,0.9333333333333333,0.002338484048415515,1.1051232481652937,0.3846153846153846,0.5025985240218571,0.17291364886762944,115093,118489,0.9713,4,0.543322,0.65691
V6-CL-ir0.1,2.5,2,0.366902239966938,0.9583333333333334,0.0036965740579204633,0.9259450858711823,0.46153846153846145,0.5373564565403218,0.2084380684374064,115738,118489,0.9768,4,0.519985,0.65691
V6-CL-ir0.1,2.5,3,0.36507110311146057,0.975,0.0026994809098955983,0.9712354338276936,0.46153846153846145,0.4969015492132312,0.1637858082680374,115393,118489,0.9739,4,0.549318,0.65691
V6-CL-ir0.1,2.5,4,0.3645275639206868,0.9583333333333334,0.0034174932615081547,1.0169268810333123,0.30769230769230765,0.5405343005355844,0.1997941591537933,115724,118489,0.9767,4,0.525663,0.65691
V6-CL-ir0.1,3.0,0,0.3707016149979972,0.9583333333333334,0.0031128034273337924,1.076804412285777,0.3846153846153846,0.5004212825725177,0.15820141329630383,115824,118489,0.9775,5,0.552986,0.65691
V6-CL-ir0.1,3.0,1,0.35607910560688905,0.9,0.0005251471491678132,0.9059408033116788,0.3846153846153846,0.30472603005693616,0.19184719183599191,113642,118489,0.9591,3,0.530884,0.65691
V6-CL-ir0.1,3.0,2,0.35433083537950255,0.7083333333333334,0.0015384152979473977,1.0497931771433562,0.46153846153846145,0.24059930648565048,0.1975797034517955,112233,118489,0.9472,3,0.527118,0.65691
V6-CL-ir0.1,3.0,3,0.3510643547258034,0.95,0.002024531860363589,0.8996620139423362,0.46153846153846145,0.4826472160749058,0.13870328370222307,116841,118489,0.9861,4,0.565795,0.65691
V6-CL-ir0.1,3.0,4,0.3540726279541831,0.9083333333333333,0.0010338029941819869,1.0274279652875988,0.3846153846153846,0.34024021711451835,0.18890940624711983,114225,118489,0.964,3,0.532814,0.65691
V6-CL-ir0.1,3.5,0,0.3517070379135227,0.9416666666666667,0.0015653095071508254,0.9540567111027638,0.46153846153846145,0.4345992835367552,0.19316142229732772,113911,118489,0.9614,3,0.530021,0.65691
V6-CL-ir0.1,3.5,1,0.34915720050089855,0.9166666666666666,0.0005481982659244836,0.9111501368878325,0.46153846153846145,0.28933601115431573,0.2793567136166762,114149,118489,0.9634,2,0.473398,0.65691
V6-CL-ir0.1,3.5,2,0.36110127209929793,0.875,0.0007562875892342675,1.0669175290289334,0.46153846153846145,0.29865231593813435,0.14140551706208415,110701,118489,0.9343,4,0.56402,0.65691
