eps,e1_r,e2_r,e3_r,Q_noisy,comm_count,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.1,0.2,0.7,0.08952478353036417,8,2,0.07643066557299724,0.6818181818181818,0.0029109039356252976,7.650172772918317,0.6363636363636362,0.3383061543338013,0.5795271497833587
2.0,0.1,0.30000000000000004,0.6,0.08952478353036417,8,2,0.09679762504417234,0.7727272727272727,0.0011779250659647565,6.89739777271195,0.6363636363636362,0.3982390450248608,0.5898935473014911
2.0,0.1,0.4,0.5,0.08952478353036417,8,2,0.08646612229996055,0.5909090909090909,0.0062483918875403215,4.802552398242818,0.5454545454545454,0.5581116870974123,0.5513971756834176
2.0,0.1,0.5,0.4,0.08952478353036417,8,2,0.17775989095558645,0.7727272727272727,0.005058145711170316,3.296730054223233,0.5454545454545454,0.2240975580808994,0.45540222766350535
2.0,0.1,0.6,0.3,0.08952478353036417,8,2,0.14457725902531332,0.7272727272727273,0.007506470648266603,2.7972924853201593,0.5454545454545454,0.3518826138158948,0.5549626450986003
2.0,0.1,0.7000000000000001,0.2,0.08952478353036417,8,2,0.18476885704838716,0.9090909090909091,0.003507407808436761,1.2934119498479393,0.4545454545454545,0.2500311331221549,0.4328997877759652
2.0,0.1,0.8,0.1,0.08952478353036417,8,2,0.17885232466443268,0.8181818181818182,0.0026751516211873353,1.3606986634572114,0.5454545454545454,0.21480591870119495,0.39964380506906366
2.0,0.1,0.1,0.8,0.091281841347087,7,3,0.017805169795557536,0.2727272727272727,0.012165716522838387,12.526587458580376,0.6363636363636362,0.8896737542051935,0.6960486520084584
2.0,0.1,0.2,0.7,0.091281841347087,7,3,0.08303386641547267,0.6363636363636364,0.0050375389147473285,9.180498367519476,0.6363636363636362,0.312097390018848,0.5540266114775877
2.0,0.1,0.30000000000000004,0.6,0.091281841347087,7,3,0.13746202969537474,0.7272727272727273,0.001917469895805807,5.004792329131019,0.5454545454545454,0.09187011105843926,0.45802970846967167
2.0,0.1,0.4,0.5,0.091281841347087,7,3,0.2066779374049859,0.7727272727272727,0.0009872171064815715,1.6162136065663044,0.5454545454545454,0.06466585625731441,0.33786402458197
2.0,0.1,0.5,0.4,0.091281841347087,7,3,0.22322013828783727,0.8636363636363636,0.001016466155719484,2.8344122200003885,0.5454545454545454,0.08448460129078711,0.3161607160549421
2.0,0.1,0.6,0.3,0.091281841347087,7,3,0.22245517288377395,0.8636363636363636,0.0022148580527893316,1.3626004989814207,0.5454545454545454,0.0007512209720297185,0.3255560304447353
2.0,0.1,0.7000000000000001,0.2,0.091281841347087,7,3,0.2252572430965204,0.9090909090909091,0.0025927357097017766,1.1520248045662695,0.4545454545454545,0.023510615061452498,0.2779419517994463
2.0,0.1,0.8,0.1,0.091281841347087,7,3,0.19925061053679227,0.8181818181818182,0.0025157849018203307,1.1119224623441522,0.4545454545454545,0.06216575465222292,0.2266039401237515
2.0,0.1,0.1,0.8,0.0991127167522504,7,4,0.02263066162618821,0.4090909090909091,0.01747308487092817,17.36598001001267,0.6363636363636362,0.9163837620618649,0.7030160642207914
2.0,0.1,0.2,0.7,0.0991127167522504,7,4,0.12221795086062744,0.8636363636363636,0.0018743785351160206,8.552108199782753,0.6363636363636362,0.30997416552318785,0.5439399788058351
2.0,0.1,0.30000000000000004,0.6,0.0991127167522504,7,4,0.15205209840686895,0.8636363636363636,0.002712016193950249,5.662804424939014,0.5454545454545454,0.26623879602019856,0.5346126154987149
2.0,0.1,0.4,0.5,0.0991127167522504,7,4,0.12747990424693081,0.7272727272727273,0.005223112196395565,2.982154051741336,0.5454545454545454,0.31693771132947485,0.5600249914085601
2.0,0.1,0.5,0.4,0.0991127167522504,7,4,0.20403664150418455,0.9090909090909091,0.005311162047324392,2.6574157615352445,0.5454545454545454,0.21886847603251036,0.469803227375647
2.0,0.1,0.6,0.3,0.0991127167522504,7,4,0.1917088629074657,0.9090909090909091,0.004901279726496722,2.625822243235677,0.5454545454545454,0.20697159778416657,0.43284238588686064
2.0,0.1,0.7000000000000001,0.2,0.0991127167522504,7,4,0.12107945695129509,0.7272727272727273,0.00561177921072996,1.1842661999800368,0.4545454545454545,0.34278444856208606,0.5545699929398314
2.0,0.1,0.8,0.1,0.0991127167522504,7,4,0.10953065026076787,0.7272727272727273,0.008206459144248486,1.0746773536995529,0.4545454545454545,0.3298903056010929,0.5326930958925158
